Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"VelfCreationsDigital:7 Encouraging Keychains Glowforge Bundle SVG, AI File
acrylic, acrylic earring, digital, engraving, design, laser, glowforge, svg, ai, illustrator, earring, for her, gift",1140,868,0.8,44,$4.99,$220,139
"DuglyGraphics:Vector TEXAS SLAM, AI, eps, pdf, png, svg, dxf, jpg Image Graphic Digital Download Artwork, stylized, graphical tail, discount coupons
ai vector sea animal, ocean reef fish eps, tuna red fish draw, pdf shark silhouette, water animalia art, texas slam image, svg swimm lovers, fish fins drawings, funny fin picture, dxf png jpg print, printable swimmeret, fun cutting images, texas slam fishing",1926,3983,2.1,205,$3.25,$666,224
"GrowthLabs:New Generate a complete eBook with AI, step-by-step Masterclass with videos, PLR and MRR Resell Rights, Ai Ebook Generator
chatgpt prompts, ai prompts, chat gpt prompts, digital download, prompt guide, midjourney prompts, digital products, ai art, master resell rights, plr digital products, plr planner, digital art, sell on etsy",147,815,5.5,18,$17.06,$307,69
"PaintboxprintablesCo:Cute KID Cartoon  AI Art Prompt Guide[14 Pgs]5 prompts 15 (Example) images/Prompt/Canva prompts/Cartoon/Kid Prompts for Magic Media in Canva
ai prompts, canva prompts, AI images, Ai Christmas Prompts, Magic Media Prompts, canva image prompts, Cute Puppies, Cute Puppy Images, Cute Puppy Prompts, Puppy prompts AI, Cute Puppy, Prompts for AI, Magic Media Prompt",514,85,0.2,2,$5.31,$11,3
"Dreamycraftershop:AI Art Prompts, Prompt for small Black businesswomen, Mom & Baby, Guidebook, Creative, Mother's Day, Chatgpt
Dall-e, Chat GPT Prompts, Cli part, Chat GPT, Ai Prompt, Promp t, daughter, birthday, gift for, Art Inspiration, black girl, African American",368,25,0.1,0,$8.99,$0,0
"ViralVideoHooks:30+ AI UGC Videos, UGC Video Templates MP4 Download 2025 for TikTok and Instagram Reel marketing or promotion, Viral TikTok Video templates
AI UGC Videos, ugc videos, ai videos, real looking ai, tiktok hooks, video hooks, viral videos, trending videos, promotional videos, tiktok girls",54,302,5.6,6,$15.00,$90,16
"BlueMoonClipArt:Ferns, hand drawn illustrations. Set of svg, ai and png clipart files, digital download
fern leaves, botanical clip art, fern floral clipart, graphic design, flourish leaf png, decorative foliage, bundle set pack, adobe illustrator, digital download, printable sublimate, ai cut wildflowers, laser cutting, fern vector print",495,665,1.3,34,$3.15,$107,34
"Cosplayprintables:Kaname Date Cosplay Sewing Pattern, AI Somnium Files Date Cosplay Pattern, Detective Date Costume Pattern, Nirvana Institute Date Pattern
kaname date, date, date kaname, ai somnium files, date cosplay, ai cosplay, somnium files, nirvana institute, detective date, date kaname cosplay",979,5358,5.5,134,$14.05,"$1,883",317
"FunImages2469:Expos Name, SVG, PNG, AI, pdf for Sublimation, Cricut, Silhouette
Expos, Montreal, SVG, PNG, EPS, AI, Sublimation, T-shirts, mugs",842,757,0.9,39,$2.88,$112,43
"MaryEMade:Sunflower Printable Color Page Original Artwork Not Ai
printable color page, Floral color page, flower color page, sunflower color page, daisy color page, hand drawn, real artist not ai, adult color page, kid color page, leaf color page, Christian color page, vine color page, fern color page",121,4,0,0,$1.00,$0,0
"CompassPointDigital:100 Health and Wellness Stock AI Images
digital marketing, online business, positive mindset, social media, stock images, Heath and Wellness, Stock Photos, AI Stock Images",122,1,0,0,$4.97,$0,2
"WanderingSoulAiArt:Shy Fairy in the Forest AI Art
Art, Ai Art, Digital, Fairy, Forest, Fantasy, Landscape, Fairy Tale",122,51,0.4,2,$0.99,$2,1
"PLRTrends:PLR Bundle AI, Plr Ebook, Plr Video Course, Resell Rights, Resale Rights, Plr Digital Product, Master Resell Rights, MRR,Digital Download
PLR Video Course, Private label rights, Master Reseller, MRR, Resell rights, Digital download, Digital products, Resale rights, PLR digital planner, PLR Bundle, PLR Ebooks, Chat GPT, AI Art",537,10593,19.7,546,$4.26,"$2,328",423
"MinichelleDesigns:Support Artists Not AI | 1.25” Inches Pin Back Button | Pastel Rainbow | Against Artificial Intelligence Generated Images |Anti Gen A.I.
Kawaii rainbow pins, cute rainbow buttons, Minichelle designs, Anti AI pins, say no to AI buttons, support artist pins, Support human artist, pay artists buttons, no A I art, Social justice pins, Pay artist pins, Against gen ai",848,1426,1.7,47,$5.99,$282,418
"MarkedwithPrecision:Ammo Can Ai8 SVG DIGITAL DOWNLOAD also includes individual elements for customization
SVG, Ai8, Illustrator, Ammo can, 50 cal, Bullets, Ammunition, Second amendment, 2A, Laser, Engraving, Vector, Graphics",1003,34338,34.2,710,$24.99,"$17,743",1044
"LyfeMadeDesigns:Minecraft Logo Vectors, SVG, DXF, Lightburn, AI, Laser Cut File, Xtool, Glowforge, OMTech, CO2 Laser, CnC cut file, Digital Art
Minecraft, Minecraft SVG, Minecraft Laser, Minecraft CNC, SVG, DXF, AI, Lightburn, Glowforge, Xtool, Omtech, Minecraft Logo, Minecraft Shirt",445,368,0.8,18,$2.50,$45,13
"MiddaySVG:Football Team Svg, Png Eps Dxf Ai, Team Logo Team Name Shirt, Football Template, Cricut Cut File, Silhouette, Sublimation, Digital Download
Football Team Svg, Template Logo Shirt, Svg Eps Dxf Png Ai, Football Mom Svg, Team Names Shirt, Cricut Cut Files, Silhouette, Sublimation, Digital Download, Football Team Png, Football Mom Png, Customizable Player, Football Sister Svg",1081,497,0.5,25,$3.59,$90,97
"ArtnDigitalDesign:Digital Confetti, 50 PNG + AI + EPS, Clipart, Confetti Border, Rainbow Dots, Party, Vector
ai, rainbow, dots, sparkles, colorful confetti, confetti clipart, confetti border png, party popper svg, confetti borders svg, confetti cricut, confetti cut file, birthday invitation, confetti eps decor",1074,1029,1,34,$7.10,$241,68
"StarfishStudyo:100+ AI Prompts for Artists/Creators | Toy/Action Figure Box Prompts | ChatGPT Prompt | Reusable Art Generator Templates | Character Designs
AI art prompts, character designs, digital artist tools, printable art ideas, fantasy art prompts, kids art activity, digital download, chatGPT prompts, Toy Figure Prompt, Disney character, reusable prompts, fun prompts, Studio Ghibli Style",4,41,10.3,2,$2.56,$5,2
"PrettySpectrum:Anti-AI Pinback Button
artist, real artist, human artist, anti ai, anti nft, anti genai, anti chatgpt, kawaii, activism, punk, anti technology, glaze, nightshade",137,115,0.8,5,$4.00,$20,40
