Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CrystalMinded:Empath Protection Crystal Necklace Anxiety Relief Raw Crystals
Crystal Necklace, Dainty Necklace, Raw Crystal Necklace, Boho Necklace, Spiritual Gifts, Healing Crystals, Stone Necklace, Minimalist Necklace, Delicate Necklace, Gemstone Jewelry, Empath Protection, Anxiety Relief, Protection Necklace",565,156039,276.2,1404,$65.24,"$91,597",10435
"CounsellorCronan:Mega shop bundle, Anxiety, depression, trauma, PTSD, CBT, family, couples, self-worth, self-esteem, sfbt, therapy worksheets, bpd, kids
counsellorcronan, mental health, affirmation, sfbt worksheets, cbt worksheets, depression, anxiety workbook, healing journey, therapy worksheets, psychology tools, affirmations, school counselling, couples therapy",676,45553,67.4,227,$166.10,"$37,704",1478
"MyLunarSoul:Shadow Work Journal | 200+ Anxiety and Inner Child Healing Prompts and Exercises | Spiritual Digital Workbook for iPad, GoodNotes
shadow work journal, journal prompts, shadow work, therapy journal, book of shadows, shadow work prompts, digital journal, mindfulness journal, anxiety journal, healing journal, mental health, goodnotes journal, grimoire journal",642,86689,135,1967,$17.06,"$33,554",4366
"BarlowJewels:Fidget Ring • Anxiety Spinner Ring • Stackable Ring • Dainty Worry Ring • Everyday Jewelry • Minimal Modern Rings • Mixed Metal Ring
minimalist ring, stacking ring, simple ring, silver stacker rings, anxiety ring, fidget spinner, fidget ring, adhd jewelry, bead spin ring, stackable ring, spinning ring, rings for kids, stocking stuffer",558,41407,74.2,542,$40.00,"$21,680",2269
"MoonTeaCreations:Fidget Spinner Evil Eye Ring, Anxiety Ring, Spinner Ring, Eye of Horus Ring, Stainless Steel Ring, Couples Matching Rings, Sukuna eye ring
evil eye ring, fidget ring, spinner ring, spinner anxiety, eye of horus, matching couple ring, steel rotating ring, spinning rings, witchy rings, matching rings, anti stress gift, sukuna",892,18143,20.3,375,$24.00,"$9,000",2568
"Earthgemsnjewelry:Fidget Ring, Spinner Ring, Anxiety Ring, Sterling Silver Ring, Meditation Ring, Anxiety Thumb Ring, Promise Silver Ring, Men's Fidget Ring
Sterling Silver Ring, Silver Spinner Ring, Meditation Ring, Fidget spinner Ring, Silver Fidget Ring, Handmade Ring, Thumb Rings, Meditation Jewelry, anxiety ring, fidget ring, anxiety ring spinner, mens spinner ring, Silver Thumb Ring",363,14160,39,162,$49.99,"$8,098",972
"OrnamentalHealthCo:Pearl gold anxiety ring, meditation ring, fidget ring, anxiety jewelry
pearl anxiety ring, pearl fidget ring, anxiety ring, spinner ring, womens pearl ring, gold fidget ring, gold anxiety ring, pearl birthstone, dainty pearl ring, fidget spinner pearl, fidget ring, fidget ring women, fidget jewelry",891,13806,15.5,180,$42.00,"$7,560",1025
"BlissfullyBookedCo:My Anxiety Is Chronic But This Bookshelf Is Iconic Sticker,  Bookish Merch And Accessories, Gift, Kindle Sticker, Booktok Sticker
bookish sticker, waterproof sticker, bookshelf decoration, bookish merch reader, bookworm essentials, booktok accessories, bookstagram addict, kindle laptop decor, e-reader phone decal, blissfully booked, funny anxiety decal, readers gonna read, smutty spicy romance",1174,34230,29.2,1766,$3.00,"$5,298",6409
"MyPorchPrints:Devotional, Write The Word, Fear, Worry, Anxiety, Junk Journal, Prayer Journal, Faith, Bible, My Porch Prints, Printable, Digital Download
Shabby, My Porch Prints, Printable, Digital, Download, Junk Journal, Kit, Devotional, Faith, Christian, Write the word, Bible Verse, Anxiety",1439,22336,15.5,1152,$4.29,"$4,942",1163
"Joyforcrystal:Cha Leaves Worry Stone, Anti-Anxiety Crystal, Therapy Stone, Fidget Stone, Pocket Crystal, Healing Crystal, Meditation Stone
Worry stone, Healing Crystal, Reiki worry stone, Healing stone, Crystal gift, Therapy stone, Fidget stone, Pocket crystal, Meditation crystal, Pocket stone, palm stone, Rubbing Stone, Anti Anxiety Stone",1043,25984,24.9,860,$5.49,"$4,721",1216
