Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"MiracleShirts:Faith Shirt, Christian T shirt, Christian Shirts, Bible Verse, Easter Gift, Easter Shirt, Christian Tshirts, Religious Gifts, Valentines Day
Faith Shirt, Bible Verse, Easter Gift, Bible Quote, Religious Shirt, Church Shirt, I will walk by faith, Even when, I cannot see, Jesus Shirt, Religious Gift, Christian Shirt, Christian Tshirts",1846,224876,121.8,5644,$12.80,"$72,243",8209
"LetsMakeMemoriesUS:Personalized Bible - Catholic Bible - New & Old Testament - Gift of Faith - Customized with Message - New Revised Standard Version - NRSV
Catholic Bible, NRSV, New Revised Standard, Embossed, Personalized, Baptism, Confirmation, 1st Communion, Religious Gift, Faith Milestone, Children's Bible, Keepsake, Leather Bible",667,66258,99.3,523,$75.99,"$39,743",1595
"Aylev:Personalized NIV Family Bible, Custom Engraved NIV Family Tree Journaling Bible, Wedding Gifts, Christian Gifts, Family Bible for Wedding
family bible, bible wedding gift, family bible wedding, christian gifts, family tree bible, custom family bible, family bible niv, personalized bible, custom bible, wedding bible, engraved bible, niv bible, catholic bible",920,45160,49.1,225,$114.27,"$25,711",862
"SheaMadeDesigns:Custom Engraved Bible, KJV Bible,  Tabbed Bible
holy Bible, Bible, faith, Lettered Bible Tabs, Cute Bible Tabs, Bible Journaling, Bible Tabs, stickers, handlettering, engraved bible, custom bible, personalized bible, King James Version",106,30406,286.8,231,$70.00,"$16,170",621
"MyBlueSnowflake:PSALM 46:5 Scripture Jewelry, Bible Verse Bracelet, RELIGIOUS Gift, God is within her  Christian Jewelry, Encouragement Gift Faith
Bible Verse Jewelry, Scripture Jewelry, Inspirational Gift, Strength Courage, Faith Endurance, Scripture Bracelet, Religion Jewelry, Christian Gift, Appreciation jewelry, Psalm 46 5, God is within her, she will not fall, Gifts women's friend",566,31815,56.2,439,$36.00,"$15,804",923
"SoYoureCozy:Bible verse Comfort Colors shirt, Cute Christian shirt for women
Religious T-shirt, Faith Based Clothing, christian shirt, comfort colors shirt, religious gift, bible verse shirt, gift for mom, cute christian tee, jesus tshirt, inspirational shirt, church t-shirt, religious tshirt, motivational gift",66,21863,331.3,411,$25.99,"$10,682",1164
"AlltheThingsMN:Scripture Verse Glass Tumbler, Flower Tumbler with Bible Verse, Christian Tumbler, Christian Gift, Iced coffee cup, His Mercies Custom Cup
glass tumbler, flower cup, Christian tumbler, Christian gift, gift for her, flower tumbler, Bible verse gift, personalized gift, custom gift, Christian Cup, Religious Cup, cup with straw, libby glass can",530,27254,51.4,684,$14.99,"$10,253",997
"AWEBO:Boho Elegant Christian Svg Png Bundle, Bible Verse svg, Scripture svg, Sleeve Shirt Design Svg, God Jesus Svg, Psalm Svg, Love Faith Svg Png
svg file, inspirational svg, Cut File Cricut, Scripture svg, religious svg, positive quotes svg, catholic svg, bible verse svg, sublimation png, christian bundle svg, christian quotes png, Religious quote svg, blessed love svg",229,29797,130.1,1537,$4.10,"$6,302",1763
"Aylev:Personalized NIV Family Bible, Custom Engraved NIV Family Journaling Bible, Wedding Gifts, Christian Gifts, Family Bible for Wedding
family bible, bible wedding gift, family bible wedding, christian gifts, custom family bible, family bible niv, personalized bible, custom bible, wedding bible, engraved bible, niv bible, catholic bible, holy bible",159,9542,60,47,$114.27,"$5,371",351
"BreDesignCo:365 Days Of Simple Scripture Bible Flipbook Desk Book-Perpetual Daily Undated Calendar Quote, Bible Verse Art, Easel, Inspirational Wall Art
gift christian women, gift for crafter, gifts for creatives, bible study, bible verse art, scripture word art, bathroom scripture, scripture wall art, scripture journal, orthodox christian, bible drawings, inspirational quotes, modern Christian art",771,9943,12.9,205,$22.99,"$4,713",308
