Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CreativeJamCo:EDITABLE Brain Dump Template BUNDLE, To Do List Printable, ADHD Daily Planner, Productivity, Priority Matrix, Work Day, Thoughts Organizer
Brain Dump, Brain dump printable, to do list printable, adhd brain dump, adhd planner, adhd to do list, brain dump template, brain dump planner, daily to do list, to do list template, productivity planner, work day planner, priority matrix",899,140730,156.5,4658,$5.96,"$27,744",6138
"Ledexpression:Brain Personalized LED Night Light, RC, Perfect for Students, Science Lovers & Gifts
Custom led light, custom name light, remote control light, LED night light, Brain Led Light, psychology gift, Brain gift, StudentRoomDecor, CustomBrainLight, NeuroscienceGift, ScienceGift, AnatomicalDecor, LEDBrainLight",814,29630,36.4,340,$49.97,"$16,990",1236
"neuroblooms:Brain pin - brain art - Neuro art- mental health -  Neuro Bloom - depression
pin, enamel pin, mental health, mental illness, depression, neuro blooms, brain, neuroscience, brain pin, brain science, brain art, brain jewelry, gift under 15",2254,36305,16.1,911,$12.00,"$10,932",3911
"RootedinParadiseSS:Brain Cactus Skull Succulent Arrangement
arrangement, brain, cactus, skull, succulent, mammillaria, planter, office plant, plants, garden, gift, fall, halloween",542,19723,36.4,408,$24.00,"$9,792",760
"SavannahandJamesCo:ADHD Sticker, Funny Bumper Sticker, My Brain Has Too Many Tabs Open Sticker, Waterproof Vinyl Sticker, Die Cut Decal, Funny Quote Decal
Best Friend Gift, Car Decal, Too Many Tabs Open, Funny Quote Sticker, Bumper Sticker, Waterproof Label, Water Bottle Sticker, ADHD Stickers, My Brain Has, Sarcasm Sticker, Jokester Sticker, Gift For Friend, Stressed Mom",1026,36025,35.1,1858,$4.95,"$9,197",6651
"XrayGirlCreations:Floral Brain Badge Reel - Neurology Badge Reel - Neuro ICU badge - Nurse Badge Reel - Rose Gold Badge - Neurosurgeon Badge - Anatomy Badge
badge reel, retractable badge, badge holder, retractable holder, rrt badge reel, anatomy badge, rose gold badge, mirror badge reel, floral brain Badge, brain badge reel, neurology badge, neuro icu badge, neurosurgeon badge",913,28971,31.7,727,$11.49,"$8,353",2793
"ReelFunClips:Brain Badge Reel - Brain -  Feltie Badge Reel - Cute Badge Clip - Retractable ID Badge Holder - Badge Pull.
Badge reel, cute ID badge reel, retractable badge, swivel badge reel, nurse badge reel, brain badge reel, Neurology, neurology badge reel, neurosurgery badge, medical badge reel, cute badge reel, decorative badges, lanyard",2901,41614,14.3,1377,$5.75,"$7,918",3262
"poppaletteprint:Editable ADHD Brain Dump Template, ADHD Daily Planner, Productivity, Priority Matrix, Work Day, Thoughts Organizer, Brain Dump, Printable
ADHD Brain Dump, Brain Dump Printable, To Do list printable, Brain Dump Planner, Daily To DO List, Productivity Planner, Thoughts Organizer, Brain Dump Sheet, ADHD Planner, Priority Matrix, Task Tracker, Brainstrom Planner, Daily Schedule",222,31689,142.7,1635,$3.94,"$6,442",1469
"FastCustomTees:Embrace Neurodiversity Celebrate the Spectrum Brain Autism T-Shirt, Neurodiversity T-shirt, Autism Awareness Shirt, Autism Support Shirt
Autism Support Shirt, Autism T-Shirt, Neurodiversity, Autism Awareness, Celebrate the Brain, Autism Tee, Autism Shirt Brain, Brain Shirt, Awareness Shirt, Autism Support, Autism Puzzle, Autism Puzzle Shirt, Puzzle Autism",1196,15581,13,391,$13.00,"$5,083",784
"SkyGardenByPhoenix:Golden Brain Cactus, Red Brain Cactus, Crested Cactus, Mammillaria Cristata Cactus, Rare Cactus, Unique Plant in 4"" pot
Brain cactus, Cristate cactus, Crested cactus, Rare cactus, Rare succulent, Special cactus, Exotic cactus, Large cactus, Cactus lover gift, Summer plant, Live plant, Plant lover gift, Plant gift",741,9798,13.2,202,$24.99,"$5,048",511
"artaltered:Human Anatomy teacher gift Magnets brain skull anatomical heart vertebrae body geekery pins stocking stuffer brain party favors medical goth
Anatomical Heart, teacher doctor nurse, human body anatomy, goth home decor, refrigerator magnets, geekery geek gift, medical student md, skull brain np pa rn, halloween button pin, male party favors, stocking stuffer men, school graduation, ortho neuro cardio",4933,16385,3.3,542,$7.74,"$4,195",10222
"MimiPrints:Brain Circuit Board Art Print Abstract Science Art Poster Human Brain With Neural Connections AI Watercolor Print Neurology Neuroscience Art
Anatomy Art, Brain Art Print, Neurology Art, Medical Art, Human Brain, Neural connections, Neuroscience poster, Neural Network Print, science watercolor, Science art gift, Circuit Board Brain, Abstract Brain Art, graduation present",2647,7183,2.7,148,$22.00,"$3,256",473
"JimClift:Gold Brain Lapel Pin - CC157G- Medical and Anatomy White Coat Pins for Neurology Nurses and Doctors
brain, medical, healthcare, health care, nurse, nursing, doctor, brain pin, brain pins, neuro, brain trauma, nursing gifts, white coat pins",3413,11693,3.4,293,$10.95,"$3,208",1454
"UnseenDesignStudio:Editable ADHD Brain Dump Printable, ADHD Planner, To Do List Template, Productivity Planner, Thought Organizer, Task List, Daily To Do List
brain dump, brain dump printable, adhd planner, to do list, brain dump template, productivity planner, adhd brain dump, brain dump planner, printable planner, thought organizer, adhd to do list, brain dump journal, task list",681,15892,23.3,820,$2.99,"$2,452",646
"UnseenDesignStudio:Editable ADHD Brain Dump Printable, ADHD Planner, To Do List Template, Productivity Planner, Thought Organizer, Task List, Daily To Do List
brain dump, brain dump printable, adhd planner, to do list, brain dump template, productivity planner, adhd brain dump, brain dump planner, printable planner, thought organizer, adhd to do list, brain dump journal, task list",551,13918,25.3,718,$2.99,"$2,147",718
"DreamMakerPins:Fuck Cancer wristband, breast cancer, lung cancer, brain cancer, ovarian cancer, kidney cancer, Melanoma, sarcoma
breast cancer, wristband, brain cancer, lung cancer, infertility warrior, chemo warrior, Warrior gift, chemo gift, Leukemia, Multiple Sclerosis, Lymphoma, medical gift, fuck cancer gift",1843,10926,5.9,361,$5.50,"$1,986",319
"TheNursingPlus:Editable Med Surg Nursing Brain Sheet 4 Patients Nurse ER Report Sheet ICU Nurse Shift Hand Off Report Sheet RN W/ Meds, Labs & Hourly To Do
Med Surg, Nursing Brain Sheet, 4 Patients, Nurse Er Report, Er Report Sheet, Report Sheet Icu, Nurse Shift Report, Hand Off Report, Report Sheet RN, Nursing School, Nurse Hourly To Do, Medsurg Report Sheet, Brain Sheet Nursing",272,9228,33.9,305,$6.50,"$1,982",247
