Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CalioraDesigns:Children ADHD Executive Function Success Pack, Calm Down Worksheets Kids Rewards, Family Daily Routine, Time Management, Breathing Exercises
executive function, adhd young children, kids morning routine, time-management pdf, montessori learning, dysfunction skills, hyperactive anxiety, kid self regulation, breathing techniques, child emotions chart, kid chore chart list, coping strategies, attention deficit",72,12082,167.8,109,$63.00,"$6,867",552
"ThatNerdCrafts:Beast Breathing Boar - Anime Car Decal Peeker
anime decals, peeker, stickers, car decal, vinyl decal, anime peeker, demon, slay, bumper sticker, inosuke, hashibira, beast breathing, boar",876,16049,18.3,402,$11.45,"$4,603",2559
"BalancingElephants:Weighted Plush Bear Pillow for Breathing Exercises, Lavender Scent, Calming Corner Buddy,Anti Anxiety Autism Toy, Calm Down Sensory Bear Toy
kids wellness, sensory tool, children mindfulness, weighted sleep mask, lavender meditation, toddler eye pillow, homeschool waldorf, calming aromatherapy, animal bean bag, manage stress toy, child therapist, yoga self care, breathing pillow",1977,8102,4.1,152,$29.95,"$4,552",351
"SpiralsAndCircles:Chartres Labyrinth Inspired, Wooden Finger Labyrinth, Finger Labyrinth, Finger Labyrinth, Meditation Corner, Wood Labyrinth, Breathing Tool
Breathing Tool, Meditation Labyrinth, Peace Corner, Finger Labyrinth, Montessori Peace, Breathing Board, Handheld Labyrinth, Wooden Labyrinth, Wooden Maze, chartres labyrinth, Hand Labyrinth, Mindfulness Tool, Labyrinth wood",838,7743,9.2,82,$53.00,"$4,346",386
"WitandGlitterCo:Throne of Glass Aelin Manon Blackbeak Fire Breathing Stainless Steel Tumblers
queen, fire breathing bitch, throne of Glass, Manon Blackbeak, travel cup, book mug, Rhysand, acotar, drink tumbler, coffee tumbler, Bookish, Literary gifts, Mothers Day gift",1564,8468,5.4,116,$35.00,"$4,060",722
"DaysAndColours:Breathing cards, Calming Corner, Mental Health, Grounding Technique, Anxiety Relief, Breathing Exercises, Flash Cards, Digital Download
mindful breathing, emotional regulation, shapes breathing, breathing exercises, anxiety relief, counselling posters, Feelings chart, Coping strategies, self-regulation, calm corner, Grounding techniques, School Counselor, mental health",583,8278,14.2,274,$6.63,"$1,817",409
"MontessoriMiniMinds:Mindful Breathing Activities for Kids: Techniques for Calming Anxiety with Breathing Cards, Finger Tracing, Calming Corners Posters
printable flashcards, montessori cards, flash cards, mindful breathing, calming anxiety, calming corner kit, kids mindfulness, emotions regulation, breathing cards, anxiety relief, breathing exercises, montessori activity",561,6069,10.8,313,$4.78,"$1,495",240
"MeaggieMoos:Fire Breathing B*tch Queen Throne Of Glass Sticker | TOG Bookish Sticker | Laptop Water Bottle Sticker | Book Worm Gift | 2""x3""
Fireheart, Fireheart Sticker, Throne of glass, TOG Sticker, Aelin Fireheart, Bookish Gifts, Bookish Merch, BookTok Sticker, Book Sticker, Fire Breathing, Bitch Queen Sticker, SJM Books, SJM book Merch",812,7343,9,378,$3.50,"$1,323",1560
"LinaStarGift:Fire Breathing Bitch Queen Comfort Colors Shirt, Merch SJM Shirt, Kingsflame The Thirteen, Book Lover  Gift, Throne Of Glass Fan Gift L190
Comfort Colors tee, Cotton Trendy Soft, SJM Shirt, Fire Breathing, Bitch Queen",104,3068,29.5,69,$18.00,"$1,242",316
"WishUponMagic:With Love Mickey Sensory Sticker/ Breathing Calming Grounding Gratitude Aura Tactile Sticker Disney mental health water bottle phone decal
Disney Mickey decor, disneyland, cell phone case, disney world, gift for girlfriend, teacher party favor, cell phone laptop, planner bujo journal, hydro water bottle, mental health, self care, inhale exhale, infinity breathing",261,4294,16.5,221,$4.69,"$1,036",611
