Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"HappyHyggeGifts:Classy Gift Basket for Women - Cozy Gift Box with Blanket, Socks, Candle - Self Care Gift Box, Care Package, Gifts for Her for Any Occasion
Gift box, hygge gift box, gift baskets, gift for women, self care package, care package for her, gift with blanket, kismetbyme, gift box for women, get well gifts, thinking of you gift, get well gift box, gifts for her",587,278387,474.3,2533,$63.00,"$159,579",8219
"kismetbyme:Classy Gift Basket for Women , Cozy Gift Box with Blanket, Socks, Candle , Self Care Gift Box, Care Package, Gifts for Her for Any Occasion
Gift box, care package for her, get well gift box, gift baskets, gift for women, gifts for her, hygge gift box, kismetbyme, self care package, thinking of you gift, best friend gift box, gift set for women, pregnancy gift box",456,273791,600.4,2683,$55.00,"$147,565",6707
"BeyondGiftsCo:Sending Healing Vibes Gift Box For Women, Succulent, Socks, Candle, Get Well Gift For Her, Thinking Of You Gift, Gift Basket With Blanket
gift box, hygge gift box, gift baskets, happy hygge gifts, gift for her, gift for women, self care package, care package for her, succulent gift box, gift with blanket, get well, cheer up gift, sending sunshine",726,214688,295.7,2297,$53.00,"$121,741",3395
"ComfortSense:Happy Birthday Gift Box, Birthday Gift for her, Custom Birthday Gift Box, Unique Gift Box, Personalized Gift Box, Self care gift box
gift for her, spa gift, thank you gift, birthday gift, best friend gifts, unique gifts, best friend gift, personalize gift, birthday gift for, get well care, thinking of you, self care gift, sympathy care",2118,101658,48,508,$100.00,"$50,800",2630
"UntieTheBowGifts:Sending Healing Vibes Gift Box For Women, Gift Basket With Blanket, Succulent, Socks, Candle, Get Well Gift For Her, Thinking Of You Gift
gift box, hygge gift box, gift baskets, happy hygge gifts, gift for her, gift for women, self care package, care package for her, succulent gift box, gift with blanket, get well, cheer up gift, sending sunshine",726,61477,84.7,657,$52.00,"$34,164",813
"UntieTheBowGifts:Happy Mother's Day Gift Box with Blanket, Gift for Mom, Mother's Day Gift Basket, Gift Box for Women, Gift for Her
gift box, hygge gift box, gift baskets, happy hygge gifts, mothers day gift, gift for mom, happy mothers day, best mom ever gift, first time mother, gift for her, gift for women, gift for grandma",730,16263,22.3,159,$55.00,"$8,745",424
"kismetbyme:Classy Gift Basket for Women , Cozy Gift Box with Blanket, Socks, Candle , Self Care Gift Box, Care Package, Gifts for Her for Any Occasion
Gift box, hygge gift box, gift baskets, gift for women, self care package, care package for her, gift with blanket, kismetbyme, gift box for women, get well gifts, thinking of you gift, get well gift box, gifts for her",365,11102,30.4,108,$55.00,"$5,940",272
"GlamourBrideUSA:Minimalist Ring Gold Dainty Ring Skinny Ring Gold Heart Ring Minimalist Ring Promise Ring Gold Stacking Ring  Valentine’s Gift for Her
minimalist jewelry, gift for her, dainty ring, minimalist ring, valentines gift, stackable ring, stackable gold ring, minimalist gold ring, dainty gold ring, heart ring, skinny ring, promise ring, Valentines ring",464,9429,20.3,108,$47.29,"$5,107",600
"UntieTheBowGifts:Birthday Gifts For Mom, Relaxation Gifts For Women, Gift Baskets For Women Birthday, Stress Relief Gift For Her, Happy Birthday Gift Box
gifts for her, best friend gift, gifts for women, birthday gifts, care package, best gifts for her, birthday box, care package for her, self care kit, gift box for her, succulent gift box, sunshine gift box, sympathy box",779,4907,6.3,56,$49.00,"$2,744",190
"TheLoomia:Housewarming Gift Set, Best Friend Gift, Towels Gift Set, Send a Gift, Gift for Her, Gift For Mother, Friend Birthday Gift, BFF Gift
House Warming Gift, Throw Blanket, Friend Gift box, Best Friend Gift, Gift For Friend, Friendship Gift Box, Gift For Her, Gift For Mother, Send a gift, Long Distance Friend, Personalized Gift, BFF gift, Candle Gift Set",1644,3205,1.9,16,$144.00,"$2,304",154
