Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"UntieTheBowGifts:Hug In A Box, Encouragement Gift, Mom Gift Set, Hygee Gift Box, Thinking Of You Box, Cozy Care Package, Self Care Basket, Blanket Gift Box
custom gifts for her, care package friend, employee gifts, mental health box, gift set for her, get well gift basket, post surgery gift, relaxing gifts, mother gift basket, pet sympathy gift, gift basket sympathy, grieving gift, boss retirement gift",779,770900,989.6,8865,$49.00,"$434,385",23188
"UntieTheBowGifts:Gift Box Hygge with Blanket, Sending a hug, Thinking of you, Sympathy gift, Bereavement gift, Encouragement gift, Sympathy gift basket
gift box, gift set, gift box for friend, hygge gift, cozy gift, sympathy gift box, grief care package, sympathy gift, gift box for men, thinking of you care, sorry for your loss, sympathy gift basket, condolence gift",1034,99930,96.6,1149,$49.00,"$56,301",2275
"ErynsHomeAndGifts:Housewarming Gift Basket, Realtor Closing Gift for Buyer, Realtor Custom Logo, Personalized Gift for Clients, Realtor Gift for Sellers -grey
closing day gift, Realtor Closing Gift, Real Estate Gift, Realtor Gift Seller, Mortgage Closing, Home Owner Gift, Gift From Realtor, Gift for Client, Gift for Clients, housewarming gift, closing gift buyers, gift basket",425,65930,155.1,758,$49.00,"$37,142",1526
"ErynsHomeAndGifts:Sending Healing Vibes Gift Box, Gift Basket with Blanket, Sympathy Gift, Care Package for Friend, Comfort Gift Box, Sending Sunshine
gift for her, care package for her, gift basket for her, Gift Box for her, grief care package, sympathy gift box, self care gift box, get well soon, mental health gift",479,53334,111.3,613,$46.00,"$28,198",1168
"imaginecolorus:Small Jute Burlap Gift Bag, Wedding Welcome Bag, Wedding Favor, Party Favor, Bachelorette Party Favor, Small Favor Bag, Eco-friendly Bag
small gift bags, wedding welcome bags, jute bags, burlap bags, wedding favor bags, eco-friendly favors, small favor bags, gift bags, party favor bag, eco-friendly bag, bachelorette favor, small party favor, cute gift bag",534,96477,180.7,4978,$4.31,"$21,455",2787
"FunDiscountTreasures:Custom Bridesmaid Proposal Box,Bridesmaid Gift Box,Bridal Party Gift Boxes,Empty Box,Wedding Gift Box,Bridal Shower Box,Maid of Honor Gift
Proposal Box, party gift box, white gift box, groomsmen box, Bridesmaid Gift box, Groomsman gift box, wedding gift box, Gift box for her, Bridesmaid Proposal, Empty Box with name, Empty Gift Box, Bridal Party Gift, Christmas gift box",248,63575,256.4,2104,$9.90,"$20,830",1038
"TheProductBarnStore:Coach Clipboard Card Holder, Coach Gift Card, Coach Appreciation Gift, End of Season, Thank you Gift, Basketball Baseball Coaches Gift
Coach card holder, coach clipboard, Coach gift card, coach appreciation, coach gift, end of season, thank you gift, basketball coach, baseball coach gift, gift card holder, fall coach gift, cash holder, wooden money holder",719,26256,36.5,659,$14.99,"$9,878",1237
"UntieTheBowGifts:Happy Mother's Day Gift Box with Blanket, Gift for Mom, Mother's Day Gift Basket, Gift Box for Women, Gift for Her
gift box, hygge gift box, gift baskets, happy hygge gifts, mothers day gift, gift for mom, happy mothers day, best mom ever gift, first time mother, gift for her, gift for women, gift for grandma",730,16263,22.3,159,$55.00,"$8,745",425
"VeeftGift:New Home Gift Basket for Couples Care Package for New Parents Real Estate Closing Gift New Homeowner Gift Basket Engagement Gift
gift for couples, gift for family, anniversary gift, homeowners gift, new homeowners, realtor gifts, couples gift, wedding gift, gift for hosts, engagement gift, newlywed gifts, real estate closing, new house gift",328,10963,33.4,77,$82.00,"$6,314",311
"LearningLattesandLit:Testing Motivation Tags Candy Testing Gift Tags Smart Cookie Smartie Donut Stress Tags Testing State Assessment Teacher Downloads
teacher downloads, student gift ideas, testing treat tags, testing candy tags, testing gift tags, student testing tags, donut stress tags, smartie treat tags, smart cookie tags, do your best tags, end of year testing, state testing gifts, goldfish testing tag",1109,26989,24.3,1392,$4.50,"$6,264",249
