Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ChakraSister:manifestation candles/ intention candles/new beginnings candle / blessings candle/ Chinese new years/ new years/love candle gift/friendship
candle favors, candle in jars, candle warmers, crystal candle, candles, intention candle, chakra candles, intention candles, manifestation candle, meditation, spiritual candle, yoga studio, crackle wick",1441,426959,296.3,10716,$11.11,"$119,055",20518
"DopeSoulDopeSpirit:Obsession Body Oil, Self Love, Beauty Spell, Manifestation, Witchy Gift
manifestation oil, conjure oil, witchcraft, obsession oil, intention oils, witchcraft oils, conjure oils, Attraction oil, gift for friend, witchy gift, witchy aesthetic, self love, affirmations",1203,181664,151,6013,$9.99,"$60,070",4066
"SentientSelf:Manifestation Herbal Intention candle | Scented Intention Candle | Intention Candle With Crystals | Crystal Infused Candle | Gift for her
intention candle, crystal candle, manifestation, Manifestation candle, ritual, handmade, soy wax, meditation, small business, abundance, healing, decor, wedding gift",1357,128613,94.8,2919,$18.00,"$52,542",9595
"TheWildflowerWitchUS:x10 Dressed Beeswax Spell Candles for Manifestation | Hand Rolled Beeswax Candles Dressed with Herbs and Botanicals | Wiccan Supplies
Spell Candles, Wiccan Supplies, Witchcraft Supplies, Pagan Supplies, Hand Rolled Beeswax, Anointed Candles, Dressed Spell Candle, Ritual Candle, money spell, protection spell, manifestation Candle, Dressed Alter Candle, Herb Candles",357,49452,138.5,682,$38.25,"$26,086",4350
"MyLunarSoul:2025 Manifestation Journal | Yearly Intentions Visioning Workbook | Vision Board, Law of Attraction | Grimoire Journal | Printable Planner
Vision Board, New Year Resolution, Intentions Workbook, goodnotes planner, goal planner, reflection journal, yearly review, yearly reflection, 2025 manifestation, Law of Attraction, Grimoire journal, Printable planner, 2025 vision board",158,34991,221.5,878,$14.22,"$12,481",1416
"ScentsYouAskedUSA:Obsession Pheromone- Attraction Oil - Manifestation Oil, Perfume Oil, Love Oil, Specific Person, Love Spell, Lust Oil, Passion Oil
Pheromone oil, spell oil, specific person, manifestation oil, abundance oil, intention oil, ritual oil, divine feminine oil, manifestation spell, witchcraft oil, prosperity oil, anointing oil, spiritual oil",292,29716,101.8,1533,$4.44,"$6,807",1352
"PersonalizedMoments1:Personalized Manifestation journal, Custom Leather Journal 112 Lined Pages, Engraved Journal, Gratitude Journal, Christmas Gift
Personalized Journal, Custom journal, Engraved journal, Journal for men, Journal for woman, Leather journal, manifestation, gratitude journal, grief journal, fitness journal, wellness journal, anxiety journal, handmade journal",179,11768,65.7,243,$21.99,"$5,344",350
"SpellofNature:Extreme “Anything You Want” Spell | Powerful Manifestation Magic for Your Desires
manifestation spell, fast love magic, white magic spell, money spell, dream fulfillment, attract love spell, wealth attraction, success spell, custom spell cast, abundance spell, health spell, fast magic spell, love spell",97,6002,61.9,64,$50.00,"$3,200",288
"MarvelsByMuse:Manifestation Journal | Law of Attraction, Digital Journal, Shadow Work, Vision Board, Affirmations, GoodNotes Journal, Manifesting Journal
Daily Journal, Manifest Journal, Law of Attraction, Shadow Work iPad, Manifesting Journal, Digital Manifest, Manifest Planner, Manifestation, Goodnotes Planner, Wellness, Digital Journal, Spiritual, Goodnotes Manifest",201,11680,58.1,386,$6.01,"$2,320",459
"Stoktarot:Let Me Manifest For You | Manifestation | Let me Manifest for you | Manifestation Ceremony | Manifestation Session | Manifestation Coach
Manifestation, manifest, witchcraft, protection spell, love spell, obsession spell, love reading, psychic reading, witchy, manifesting, spell work, manifest money, black magic",266,12463,46.9,412,$5.25,"$2,161",269
"TemplateLifeCo:Plr 2025 Manifestation Planner, Resell Journal, Master Resell Rights, MRR Journals, Resell Planners, PLR Digital Planner
Master Resell Rights, 369 Manifestation, Manifestation, manifest journal, manifest workbook, manifest planner, money manifest, digital grimoire, instant download, plr planner, plr, resell, mrr",551,4554,8.3,114,$11.71,"$1,335",311
"CeceSinclaire:MANIFESTATION WORKBOOK : Guide and Fill Out Workbook for Manifesting by Cece Sinclaire
Manifest, Manifestation, Guidance, Guide, Witch, Witchcraft, Love, Helpful, How to, Spells, Spell jar, Workbook, Law of attraction",723,4543,6.3,234,$4.99,"$1,168",66
"BlkGrlMagick:MANIFESTATION CRYSTAL Tealight Candles • Strong Scented Mini Tea Light for Protection, Luck, Love, Peace, Money • Long Lasting Vegan Candles
wedding candles, birthday candles, party candles, mini spell candles, intention candle, manifestation candle, outdoor candles, centerpiece candle, witch home decor, witchcraft supplies, black owned business, best smelling candle, night light candle",267,2568,9.6,53,$21.95,"$1,163",185
"DigitalBoutiqueNZ:Manifestation Guide | Master Resell Rights MRR | Private Label Rights PLR | Self Improvement eBook | Coaching Resources | Canva Template.
Manifestation Guide, Master Resell Rights, Private Label Rights, MRR, PLR, manifestation ebook, manifestation, Coaching Resources, Self Help, Self Improvement, Psychology MRR, PLR Digital Products, Canva Template",307,4166,13.6,137,$7.71,"$1,057",395
"TheMysticMarketInc:HERBS for witchcraft, manifestation, rituals, spells, witchcraft herbs, witchcraft supplies, magick, 5-8g bags of herbs, read description
witchcraft supplies, witchcraft herbs, witchcraft tools, herbs for spells, herbs for witchcraft, herbs for rituals, witch herbs, witchy herbs, magical herbs, herbs, manifestation, magick, magic supplies",435,3392,7.8,85,$10.12,$860,140
"GoodVibesDesignUSA:Money Manifestation Vision Board Kit | Manifestation Checks | Manifestation Cheques | Law of Attraction | Digital Vision Board Printables
law of attraction, vision board, money manifestation, money magnet, manifestation cheque, manifestation check, vision board kit, vision board digital, vision board words, dream board kit, affirmation card, vision board planner, gratitude journal",1316,3931,3,202,$3.99,$806,258
"NissLovelyCreations:Spanish 369 Method, Método de Manifestación 369 Imprimible, Ley de Atracción, Visualización de los 17 Segundos
369 manifestation journal, 369 method, metodo 369, 369 journal, ley de atraccion, diario de manifestacion, agenda digital en español, diario digital, diario de gratitud, diario de gratitud en español, 17 segundos, imprimibles en español, imprimibles digitales",997,4384,4.4,226,$2.98,$673,65
"Mindplaytherapy:Abraham Hicks Focus Wheel Manifestation: Unique Process | Instant PDF Download
journal, manifest, note book, digital, printable, planner, manifestation, love manifestation, money manifestation, manifestation journ, calendar 2023, the focus wheel, digital planner",1028,3170,3.1,163,$3.86,$630,86
"TheMelodyFace:Manifest SVG PNG DXF - Manifestation Svg Bundle - Inspiration Motivation - Law Of Attraction Svg - Cricut - Silhouette - Digital download
manifestation svg, manifest svg, Law of Attraction, Inspirational Svg, Positive Quote Svg, Positive Svg, Motivational Svg, Mental Health Svg, Self Love Svg, Girl Power Svg, You Are Enough SVG, you matter svg, mental awareness svg",1069,3590,3.4,185,$3.40,$629,282
"YourPrintableJourney:Money Vision Board Kit | Money manifestation | Dream Board | Money affirmations | Abundance | Wealth | Prosperity
vision board money, manifest money, law of attraction, attract money, money cheques, abundance cheques, dream board, money manifestation, vision board kit, vision template, girl boss, manifestation board, wealth",1026,2544,2.5,84,$6.86,$577,58
"mynoxil:MRR Manifestation & Law Of Attraction Videos Bundle, Faceless Marketing Instagram Reels PLR Video Master Resell Right Meditation
sprituality videos, meditation videos, plr videos, youtube meditation, resellable videos, mrr, plr, master resell rights, positive affirmation, plr digital products, self love, Money and Abundance, Manifestation loa",163,2666,16.4,137,$3.96,$543,207
"CeceSinclaire:Love Manifestation Affirmations for Journaling
Affirmations, Affirm, Journal, Journaling, Attract, Love spell, Attract love, Manifest, Manifestation",724,3144,4.3,162,$2.99,$484,42
"TarotReadingOracle:Let Me Manifest For You - Psychic Manifestation - Unlock Your Destiny - Ex Lover Return - Manifestation Session - Same Day
manifestation, manifest, desire reading, wish reading, psychic reading, telepathy reading, tarot reading, manifest session, spiritual guidance, psychic guidance, medium reading, ex lover return, money reading",102,1716,16.8,88,$4.88,$429,53
"SarahsCoolStuffStore:Pendulum Set with Storage Box- Pendulum, Crystal, Palo, Candle Holder, Bell & 2 Candles  - You choose your intention!
witch box, pendulums, altar tools, witch kit, beginner witch, Pendulum Set, Candle Holder, Spell Box, intention candles, intention set, manifestation, divination, divination kit",835,959,1.1,21,$18.88,$396,59
"SilverPost:Money Manifestation Crystal Kit – Abundance, Wealth, Prosperity Success Set with Sage for Energy Cleansing Positive Intentions
Manifestation Kit, Crystals for Money, Money Stones, Prosperity Crystals, Crystal Gift Box, Wealth Manifestation, Abundance Kit, Success Stones, Crystal Money Box, Sage Smudge Kit, Law of Attraction, Good Luck Charm, New Business Gift",60,1486,24.8,49,$8.00,$392,63
"MyMagicPlaceShop:Cauldron Candle Full Moon candle  Small Brass Antique Design Cauldron Soy Candle Full Moon
Cauldron candle, ritual candle, soy candle, witch cauldron, rose candle, rose cauldron, magic cauldron, my magic place, moon candle, handmade candle, handpoured candle, altar décor, yule candle",714,1146,1.6,37,$9.30,$344,83
