Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"TinyFolkPatterns:JOY bunny PDF sewing pattern with dress and bow
easy sewing pattern, soft toy pattern, bunny sewing pattern, easter pattern, bunny toy pattern, pdf sewing pattern, doll sewing pattern, doll pattern pdf, plushie pattern, beginner pattern, doll clothes, sewing pattern, sewing patterns",1108,124617,112.5,4124,$8.77,"$36,160",9230
"DressmakingAmore:Brandy High-Waist Wide Leg Pants PDF Sewing Pattern - US Sizes Xs-2Xl - PDF Instant Download with Instructions & Video Tutorial
wide pants pattern, pants pattern, easy sewing pattern, sewing pattern, pdf sewing pattern, women's pants, trousers pattern, palazzo pattern, palazzo pants, wide leg trousers, high waisted pants, pattern and tutorial, womens pants pattern",1399,106796,76.3,2680,$12.97,"$34,760",8388
"vcrochetpatterns:Crochet blanket pattern pdf file BLOOMING JOY blanket pattern photo tutorial girl vintage vibe blanket pattern
crochet pattern, floral blanket, crochet flower, step by step pattern, crochet tutorial, pdf file pattern, photo pattern, flower crochet, blanket pattern, girl blanket pattern, vcrochetpatterns, blooming joy, blooming joy blanket",644,172598,268,5712,$5.69,"$32,479",13070
"PatternFix:Gingham Casual Short PDF Sewing Pattern| Sizes:US2-12| UK6-16| EU34-44 | XS-XXL| Instant Download with A4&A0| Easy Instructions
pdf sewing pattern, short sewing pattern, casual short pattern, beginner sewing, women short pattern, nightwear pattern, short pattern easy, pj pdf pattern, loungewear short, pajama short, pajama sewing, loungewear pattern, pj sewing pattern",949,134175,141.4,5228,$4.99,"$26,088",14511
"FourSeasonsPatterns:A-Line Loose Dress, Linen Dress, Sewing PDF pattern dress, Hight waist linen dress, do it yourself, tutorial pdf sewing size XS-5XL
Summer Linen Dresses, Maxi Linen Dress, Midi Linen Dress, Soft Linen Dress, Linen Tunic, Dress For Women, Short Sleeved Dress, Empire Line Dress, womens dress pattern, PDF sewing patterns, sew dress pattern, Sewing PDF, dress pattern",390,58768,150.7,1945,$9.95,"$19,353",3649
"MagicLittleDreams:Playful Baby Quilt PDF Pattern with human footstep applique, ""Small Steps"" patchwork from Magic Little Dreams. Fat quarter friendly, unisex
Baby Quilt Pattern, Footsteps applique, Cute Unisex Quilt, Baby Shower, Newborn throw, PDF Pattern, Instant download, patchwork baby quilt, Modern Patchwork, Square in a square, Fat Quarter, Fat eight, Small Steps Quilt",1922,44162,23,1002,$15.92,"$15,953",932
"notyourcherryDESIGNS:Baby Tee & Micro Mini Skirt Set PDF Sewing Pattern | Size UK2-18 | A4, US Letter, A0 | Easy, Beginner Friendly | Crop T-Shirt, Mini Skirt
PDF sewing pattern, y2k sewing pattern, trendy PDF pattern, easy sewing pattern, women sewing pattern, crop top, cropped tshirt, crop tee, mini skirt pattern, micro mini skirt, low waist mini skirt, skirt pattern, baby tee",1026,48971,47.7,1620,$9.29,"$15,048",5774
"notyourcherryDESIGNS:Slit Micro Mini Skirt PDF Sewing Pattern | Low-Rise & High-Rise | 3 Length Options | UK2-18 | A4, US Letter, A0
micro mini skirt, low-waist mini skirt, PDF sewing pattern, mini skirt pattern, easy sewing pattern, women sewing pattern, skirt sewing pattern, low waist skirt PDF, high waist skirt PDF, slit skirt pattern, a-line skirt pattern, y2k sewing pattern, split skirt pattern",1050,53941,51.4,1353,$10.08,"$13,645",6161
"ATELIERMIMITO:Baby Unisex Reversible Romper PDF Sewing Pattern
Sewing pattern, PDF pattern, digital pattern, baby romper, child overall, reversible clothes, unisex outfit, boy and girl fashion, baby shower, easy tutorial, seamless garment, timeless wardrobe, projector file",1297,44597,34.4,1476,$8.30,"$12,258",3756
"TYTKAStudio:Flower Shaped Bag | PDF Sewing Pattern | One Size
flower bag, flower shape, tote bag, kids bag, gift, diy, do it yourself, personalised, beige, pdf pattern, instructions, tutorial, sewing",871,36680,42.1,1214,$8.42,"$10,216",4604
"CinnamonDollCrochet:Dress pattern, milkmaid dress sewing pattern PDF puff sleeves cottage core dress pattern women sewing patterns - instant download (Eng, Fr)
sewing patterns pdf, sewing pattern, womens sewing, printable download, easy simple, milkmaid dress, cottage core dress, midi dress pattern, puff sleeves dress, cottagecore dress, halter dress pattern, maxi dress pattern, for beginners",927,32226,34.8,1066,$9.58,"$10,215",2957
"KeeperHK:Reversible Boat Neck Top Sewing Pattern PDF bell sleeves crop top Sewing Pattern Beginner PDF Download Sizes XS to 3XL Pattern with Tutorial
reversible crop top, sew top pattern, pdf crop top pattern, flare sleeve pattern, boatneck top pattern, boat neck top sewing, cute top sewing, bell sleeves pattern, simple top pattern, basic top pattern, multiway, crop top long sleeve, bell sleeve crop",564,45543,80.8,1414,$6.05,"$8,561",6774
"HGSDesigns:Amigurumi Ducky PDF Crochet Pattern INSTANT DOWNLOAD
pdf crochet pattern, Instant download, amigurumi toy, 4mm hook, baby shower gift, amigurumi pattern, HGSDesigns, Crochet Duck, duck plushie, duck pattern, duck stuffie, yellow duck, crochet bird",3125,52765,16.9,2722,$2.99,"$8,139",3904
"brittanyalicecrochet:CROCHET PDF PATTERN - Tulip Crop Top (Instant Download)
crochet pattern, crochet top pattern, crop top pdf pattern, pdf crochet pattern, crochet top, crochet crop top, crop top pattern, crochet pattern pdf, crochet pdf pattern, crochet pdf, crochet crop top pdf, pdf crochet crop top, bralette pdf pattern",1864,36212,19.4,1868,$2.93,"$5,473",3458
"AlexaAmigurumi:Crochet Strawberry in a Pot Plant. Pattern PDF. Crochet plant flowers. Strawberry with leaves. Amigurumi strawberry pattern for home decor.
Crochet strawberry, strawberry Pattern, Pattern strawberry, strawberry leaves, crochet pattern, amigurumi strawberry, crochet flower pdf, pdf pattern flowers, pattern pdf crochet, crochet  bouquet, strawberry in a pot, crochet home decor, Strawberry plant",321,25012,77.9,1290,$4.00,"$5,160",4878
"DressmakingAmore:Swan Bolero Top PDF Sewing Pattern - US Sizes 2-20 - PDF Instant Download with Instructions & Video Tutorial
dressmaking amore, easy sewing pattern, pdf sewing patterns, sewing pattern women, sweater pattern, fitted top, crop top pattern, bolero pattern, balero pattern, shoulder wrap top, fitted top pattern, skims top, skims top pattern",759,14671,19.3,368,$12.97,"$4,773",2537
"SewistCAD:4305 PDF Jacket Sewing Pattern - S-M-L-XL or Made to Measure Sewing Pattern PDF Download
sewing pattern, sewing patern pdf, women sewing pattern, woman sewing pattern, jacket pattern, cardigan pattern, supply",2042,16510,8.1,414,$10.98,"$4,547",1429
"NancyMahoneyDesigns:Rainbow Stars quilt pattern (PDF digital download)
Nancy Mahoney, quilt pattern, quilting, traditional quilt, patchwork quilt, paper pieced, star blocks, digital pattern, PDF quilt pattern, scrap quilt, sewing, lap quilt, scrappy quilt",1414,17116,12.1,429,$10.00,"$4,290",397
"EvelynAndPeter:The Summer Path Cardigan PDF DIGITAL DOWNLOAD Crochet Pattern, Women's Summer Crochet Cardigan Pattern, Easy Crochet Top Crochet Pattern
the summer path, summer path cardigan, evelynandpeter, lion brand yarn, summer cardigan, summer crochet, easy crochet, beginner crochet, crochet pattern, PDF crochet pattern, long summer cardi, summer top, crochet top",1053,23046,21.9,762,$5.50,"$4,191",1401
"TreeHousePatternsUK:Leather pattern PDF, DXF for evening purse, pattern for shoulder bag
clutch bag pattern, evening bag pattern, leather purse DXF, small purse pattern, treehousepatternsUK, women purse pattern, leather pattern, leather bag pattern, purse pattern, leather purse PDF, leather wallet PDF, leather clutch pdf, shoulder bag pattern",242,9327,38.5,211,$18.57,"$3,919",579
