Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"CrystalMinded:Empath Protection Crystal Necklace Anxiety Relief Raw Crystals
Crystal Necklace, Dainty Necklace, Raw Crystal Necklace, Boho Necklace, Spiritual Gifts, Healing Crystals, Stone Necklace, Minimalist Necklace, Delicate Necklace, Gemstone Jewelry, Empath Protection, Anxiety Relief, Protection Necklace",565,156039,276.2,1404,$65.24,"$91,597",10435
"SlimeFantasiess:Therapy Dough, Sensory Dough, Stress Relief, Scented Butter Slime, Aromatherapy Slime Gift, Blue Slime, Popular Slime Shops, Slime Fantasies
anxiety relief, therapy dough, blue butter slime, slime shops, cheap slime shops, anxiety gift, aromatherapy slime, lavender slime, slime essential oils, anti stress slime, unique gift, butter slime, best slime",660,29000,43.9,727,$12.99,"$9,444",1284
"Shout3Dshop:Hip Crook 2.0 - Deep Relief for Tight Hip Flexors (Psoas & Iliacus)
hip hook alternative, hip crook, psoas release tool, hip flexor release, ilacus massager, deep tissue hip tool, hip mobility aid, self massage tool, physical therapy aid, pelvic release, trigger point, myofascial release, hip pain relief",82,15934,194.3,208,$44.99,"$9,358",145
"PrintVertical3D:Knurled Fidget Roller Stress Relief Item. Key Ring, Pain Stim Pendant, Tactile Stim Fob, EDC Haptic item, 3D Printed in USA
3D Printed, Fidget Toy, Stim Toy, unique gift, EDC, Fidget, Fidget Toys, fidgets, Gift, Fidget Spinner, stress relief, Gift for him, Gift for Her",1915,26928,14.1,891,$9.50,"$8,464",1828
"DdDesignG28:Oxygen Hose/Tubing Strain Reliefs (3 Pack)
Oxygen Tubing, Oxygen Hose, Strain Reliefs, Hose Reliefs, Oxygen Reliefs, medical device, concentrator inogen, philips DeVilbiss, Invacare health home",1573,31221,19.8,1033,$6.99,"$7,221",370
"PrintFusionArtworks:Chicken Wing Toy Transformable Stress-Relief Desk Accessory | Fun and Quirky Gift for Adults and Kids Flexible Realistic Toy Gag Gamer Gift
stress toy for kids, fun office gadgets, fun desk gadgets, gift for friends, fun gadgets, stress relief gift, desk toy for adults, cool stress toys, fun pocket toy, interactive toy, chicken wing knife, retractable knife, stress relief toy",137,13085,95.5,210,$33.55,"$7,046",286
"StlCnc3DModel:Panno & Bas-Reliefs 3D CNC Router STL Pack: +8500 STL Files of Panel And Bas-Relief For 3D Cnc Router Machine - Lifetime Google Drive Access
3D CNC ROUTER, CNC ROUTER MACHINE, STL FILES, CNC STL PACK, Animals, Furniture Decor, Home Decoration, Wall Decor, Wall panels, Interior Design, Architecture, Bas Relief, Decorative panels",262,7935,30.3,149,$29.80,"$4,440",157
"IESADIGITALSTORE:Cnc Router Relief Files Mega Bundle, +8500 Pcs Wall Decor, Stl File For CNC Router, Dxf, Dwg, Eps, Stl, Svg, Cnc Cutter, Engraver
cnc file, cnc router file, svg drawing, ai cnc files, cnc pack, cnc router bundle, cnc file for wood, stl file for cnc, dxf cnc router files, lasercut ai files, stl relief files, wall decor file, cnc carving",381,6803,17.9,154,$19.80,"$3,049",112
"NeatpickShop:Creations Spa Essentials Massage and Pain Relief Rub 50g or Healing oil 10ml Roll on w/ VCO in Lavender, Olive, Ginger and Orange scents
massage rub, pain relief rub, lavender rub, ginger pain rub, olive massage rub, orange pain rub, relaxing rub, healing oil, VCO roll on, Virgin coconut oil, Creations spa rub, Creations spa oil",802,8387,10.5,277,$9.99,"$2,767",36
"ARNOTSTL:Panno & Bas-Reliefs 3D CNC Router STL Pack: +560  STL Files of Panel And Bas-Relief For 3D Cnc Router Machine - Lifetime Google Drive Access
3D CNC ROUTER, CNC ROUTER MACHINE, STL FILES, CNC STL PACK, Animals, Furniture Decor, Home Decoration, Wall Decor, Wall panels, Interior Design, Architecture, Bas Relief, Decorative panels",306,7737,25.3,194,$13.27,"$2,574",147
"TheSpecialityLoveSha:Hip Hook Tool for Deep Tissue Relief: Target Tight Hip Flexors, Psoas & Iliacus | Perfect Mother’s Day Gift
hip flexors, hip crook, mobility aid, hip pain relief, mobility improvement, hip hook for sale, iliacus muscle, pelvic release, deep tissue hip tool, hip flexor release, hip hook release, psoas release, mark hip hook",12,4254,354.5,68,$33.98,"$2,311",28
"BossBodyworks:Organic ENERGY & STRESS RELIEF Tincture, Adaptogenic Adrenal Support Tonic, adaptogen, adaptogens
astragalus, ashwagandha, rhodiola, panax ginseng, ginseng, adaptogena, adaptogenic, adaptogens, schisandra, licorice, tonic, energy, stress relief",4475,3604,0.8,49,$36.75,"$1,801",214
"CocoWyoColoring:Stress Relief: Simple and Relaxing Coloring Book by Coco Wyo
coco wyo, coloring book, inspirational, digital coloring, relaxing book, stress relief, adult coloring book, coloring pages, cute coloring book",328,22984,70.1,1185,$1.49,"$1,766",910
"LivingMaps:Oregon Geology Map, Wall Art Print, Topographic Relief Map, Geology Gift, Vintage Décor for Home & Office
topographic map, wall art map poster, 3d 2d map art, oregon geology map, crater lake national, mount hood park, john day fossil, geology map gift, vintage relief print, crater lake haystack, vintage décor, topography elevation, salem portland",942,2454,2.6,28,$45.00,"$1,260",85
