Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"Santas3DToys:Baby Dragon with Egg Articulating Fidget Toy - Mythical Fantasy Office Home Bedroom Decor - Stress Relief - Made In the USA
articulated fidget, stress relief toy, office home decor, 3d printed gift, mythical fantasy, flexible durable, bedroom car decor, gender reveal, bookshelf accessory, wings of fire dragon, game of thrones egg, dragons masters book, baby crystal wing",886,129756,146.5,1790,$38.95,"$69,720",3222
"BloomingLightVTAroma:Essential Oil Diffuser Stones | Ceramic diffusers make cute desk accessories in your office decor for stress relief | Oil sold separately
desk accessories, oil diffuser, Ceramic Diffuser, Office Decor, Essential Oil, bathroom decor, bedroom decor, stress relief, reed diffuser, cute desk accessory, desk decor, home office, boho decor",1567,91178,58.2,2069,$17.99,"$37,221",8361
"CutlersCreation:Mini Chicken Zen Garden, Mini Desk Decor, Sensory Calming Sand Garden for Desk, Fidget Stress Relief, Office Decor
mini zen kit, mini zen garden, fidget, stress relief, stress relief toy, sand box, relaxation kit, gifts for her, gifts for him, chicken zen garden, chicken gift, desktop zen garden, desktop toys",97,51214,528,962,$25.00,"$24,050",4703
"DumplingSlime:Turtle cove frogspawn Slime, Frog spawn Slime, fishbowl beads slime, turtle charm, clear slime,Birthday gift, Stress Relief toy, Kids Gifts,
Slime Kit, Butter slime, Cloud slime, slimes with clay, diy clay slime, Kids sensory toys, anxiety figets, Stress relief, kid gifts, clear slime, birthday gift, kid birthday gift, turtle slime",375,64757,172.7,2143,$8.50,"$18,216",2714
"NekoRoyale:Blood bag shaker charm stress relief sensory fidget toy mental health kawaii bag charm
autism toys, diy fidget toys, fidget toys, sensory play, shaker charm, stim toy, stress toy, menhera, yami kawaii, stress relief toy, kawaii aesthetic, jfashion, harajuku fashion",1828,36200,19.8,582,$30.00,"$17,460",3549
"BloomingLightVTAroma:Clay essential oil diffuser stones | These natural ceramic diffuser stones make the perfect stress relief desk accessories for office decor
Ceramic Diffuser, Clay Diffuser, Office Decor, Essential Oil, bedroom decor, home office, stress relief gift, desk accessories, aromatherapy, oil accessories, oil diffuser, women work home, desk decor",1844,40682,22.1,923,$17.99,"$16,605",1698
"PrintVertical3D:Knurled Fidget Roller Stress Relief Item. Key Ring, Pain Stim Pendant, Tactile Stim Fob, EDC Haptic item, 3D Printed in USA
3D Printed, Fidget Toy, Stim Toy, unique gift, EDC, Fidget, Fidget Toys, fidgets, Gift, Fidget Spinner, stress relief, Gift for him, Gift for Her",1915,26928,14.1,891,$9.50,"$8,464",1828
"PrintFusionArtworks:Chicken Wing Toy Transformable Stress-Relief Desk Accessory | Fun and Quirky Gift for Adults and Kids Flexible Realistic Toy Gag Gamer Gift
stress toy for kids, fun office gadgets, fun desk gadgets, gift for friends, fun gadgets, stress relief gift, desk toy for adults, cool stress toys, fun pocket toy, interactive toy, chicken wing knife, retractable knife, stress relief toy",137,13085,95.5,210,$33.55,"$7,046",286
"PreciousAnnieCrafts:Dang-it dolls, dammit dolls, stress relief, fun gift, antianxiety,
dang it doll, stress relief, dammit doll, gag gift, gifts under 10, office gift, co-worker gift, Employee gift, Anxiety tool, Fun gift, teacher, affordable gift, antianxiety",2360,25366,10.7,839,$8.00,"$6,712",501
"NuttiePrints:Toggle Switch Fidget Toy - Unique Clicker for Handheld Stress Relief
Toggle Switch Toy, Fidget Clicker, Stress Relief Toy, Handheld Fidget, Satisfying Click Toy, 3D Printed Gadget, Sensory Toy, Desk Fidget Tool, Anxiety Relief Toy, Portable Fidget, Click Sound Toy, Office Stress Toy, Interactive Toy",518,16773,32.4,421,$14.99,"$6,311",1940
