Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"chickssellingdicks:10 pack Adorable Squishy Stress Toy - Squishy with Hat - Bachelorette Party Favor - Bachelor Party Favor - Mochi Toy - Party Favor
Squishy, Stress Toy, Ding Ding, Mochi, Bachelorette Party, Party Favor, Gag Gift, Bachelorette Favor, Bach Party Favor, Bachelor party favor, Last Disco Bach, Last Rodeo Bach, Final Fiesta Bach",567,87065,153.6,1976,$17.49,"$34,560",2692
"LavenderDreamsFL:Eucalyptus Shower Bundle, Lavender, Eucalyptus, Aromatherapy,  Stress & Sinus Relief, Self Care, Eucalyptus Lavender Bundles, Home Decor
Eucalyptus, Aromatherapy, Relaxation, At Home Spa, Hanging Eucalyptus, Self Care, Stress Relief, Sinus Relief, Eucalyptus Bundles, event decor, bathroom decor, Lavender, Eucalyptus Lavender",1628,50281,30.9,1141,$15.99,"$18,245",2275
"JoellaCraftsShop:Stress Blobs PATTERN/ Crochet Fidget Toy Pattern/ Crochet Stress Ball Fidgets/ No Sew Cute Crochet Plush Pattern
plushie pattern, crochet pattern, cute crochet plush, crochet plushies, crochet patterns, crochet plush, crochet fidget, crochet fidget toy, crochet stress ball, stress ball, stress blob, stress ball crochet, stress blob pattern",328,68660,209.3,3542,$2.85,"$10,095",4003
"PilchPrints3D:3D Printed Fidget Roller Stress Toy (Single and Dual Color options available)
Fidget, Fidget Roller, ADHD, autism, Stress Toy, Stim Toy, Fidget Toy, EDC Fidget, Desk Toy, 3D Printed, Sensory Toys Autism, Worry Toy",2479,31783,12.8,1052,$8.99,"$9,457",2510
"3Dcopticprints:Articulated Gemstone Dragon, Fidget Toy, Desk Stress Toy, Dragon Decoration 3D Printed, Cinderwing3D, Rainbow colors available!!
crystal dragon, fidget dragon, winged dragon, fidget toy, articulated, stim toy, candy corn dragon, mystery dragon egg, crystal gem dragon, 3d printed fidget, luck dragon, autism toy, flexible dragon",525,33435,63.7,1106,$8.50,"$9,401",488
"LavenderLuvies:Lavender Scented Stress Ball  ""Stress LESS""
Stress Relief, Aromatherapy, Desk Toy, Squishy, Lavender Scent, Anxiety Relief, Autism, Sensory Toy, Fidget Toy, Party Favor, adhd tools, meditation, relaxation",1763,32093,18.2,1062,$8.00,"$8,496",2321
"PrintVertical3D:Knurled Fidget Roller Stress Relief Item. Key Ring, Pain Stim Pendant, Tactile Stim Fob, EDC Haptic item, 3D Printed in USA
3D Printed, Fidget Toy, Stim Toy, unique gift, EDC, Fidget, Fidget Toys, fidgets, Gift, Fidget Spinner, stress relief, Gift for him, Gift for Her",1915,26928,14.1,891,$9.50,"$8,464",1828
"PrintFusionArtworks:Chicken Wing Toy Transformable Stress-Relief Desk Accessory | Fun and Quirky Gift for Adults and Kids Flexible Realistic Toy Gag Gamer Gift
stress toy for kids, fun office gadgets, fun desk gadgets, gift for friends, fun gadgets, stress relief gift, desk toy for adults, cool stress toys, fun pocket toy, interactive toy, chicken wing knife, retractable knife, stress relief toy",137,13085,95.5,210,$33.55,"$7,046",286
"JoellaCraftsShop:4 in 1 Pattern Bundle- Stress Blobs, Stress Pets, Bubble Butties, Chicken Laying an Egg / Crochet Fidget Toy/ Crochet Stress Ball Pattern
crochet pattern, crochet plushies, crochet patterns, crochet plush, crochet fidget, crochet fidget toy, crochet stress ball, stress ball, crochet frog, crochet pug, stress ball pattern, stress blob pattern, stress pet crochet",298,17085,57.3,565,$8.95,"$5,057",904
"TheSqueezeDough:The Squeeze - Lavender 100% essential oil stress relief therapy dough for self care, aromatherapy stress ball, stress relief
adult play dough, aromatherapy dough, essential oils, exercise putty, stress ball, lavender, adult slime putty, aromatherapy putty, office gift, stress dough, therapy dough, anxiety dough, fidget dough",2198,16487,7.5,413,$10.49,"$4,332",1037
"GoodJourneyCo:REUSABLE  picky pad kit,anxiety, stress relief, Fidget Toy, PickyPad, Dermatillomania, ADHD, Autism, Skin Picking, Hair Pulling, sensory
pick pad find it, autism fidget, picking toy, picking fidget, adhd fidget, skin picking pad, anxiety reducer, reusable picky pad, remeltable picky pad, DIY picky pad, adult fidget, grounding tool, picky pad and tray",158,13668,86.5,452,$9.50,"$4,294",548
"LemonTreeBadgeReels:Funny ""In da Clerb we all Stressed"" Scrubs Badge Reel - Retractable Badge Holder - Lanyard - Carabiner - Medical Humor - RN MD Gift
badge Reel, Retractable Reel, funny badge reel, nurse badge reel, er ed nurse tech, IN DA CLERB, FUNNY MEME, RN CNA TECH LPN PA, RT RRT XRAY TECH, we all stressed, medical humor, scrubs badge reel, nurse doctor tech",117,11427,97.7,378,$9.49,"$3,587",1579
"GoodJourneyCo:REUSABLE  Kitty Cat Picky Pad, anxiety, stress relief, Fidget Toy, PickyPad, Dermatillomania, ADHD, Autism, Skin Picking, Stim Toy, OCD
pick pad find it, dermatillomania, autism fidget, picky pad, picking toy, picking fidget, adhd fidget, skin picking pad, anxiety reducer, reusable picky pad, remeltable picky pad, sensory play, cat lover gift",157,6384,40.7,88,$35.50,"$3,124",369
"LucidLavenderCo:Organic Anxiety Oil | Natural Stress Roll On
natural oil, anxiety oil, stress oil, stress aromatherapy, anxiety aromatherapy, relax oil, relax aromatherapy, organic oil, organic roll on, anxiety perfume, anxiety remedy, stop anxiety, natural anxiety oil",1075,4560,4.2,85,$28.00,"$2,380",141
"ArcaneCrystalarium:Reusable Picky Pad Ghost Forest, Stress, ADHD, Dermatillomania, Anxiety, Non-Toxic, Biodegradable, Skin Safe - Satisfy Your Urge to Pick!
desk stress toy, remeltable picky pad, squishable gift, self care, autism, adhd, Dermatillomania, squishy, mental health, reusable, ghost forest, fidget melt, melting meltable",144,4210,29.2,67,$31.99,"$2,143",329
"BossBodyworks:Organic ENERGY & STRESS RELIEF Tincture, Adaptogenic Adrenal Support Tonic, adaptogen, adaptogens
astragalus, ashwagandha, rhodiola, panax ginseng, ginseng, adaptogena, adaptogenic, adaptogens, schisandra, licorice, tonic, energy, stress relief",4475,3604,0.8,49,$36.75,"$1,801",214
"CocoWyoColoring:Stress Relief: Simple and Relaxing Coloring Book by Coco Wyo
coco wyo, coloring book, inspirational, digital coloring, relaxing book, stress relief, adult coloring book, coloring pages, cute coloring book",328,22984,70.1,1185,$1.49,"$1,766",910
"PilchPrints3D:3D Printed EDC Fidget8 Stress Toy (Single and Dual Color options available)
Fidget, Fidget Roller, ADHD, autism, Stress Toy, Stim Toy, Fidget Toy, EDC Fidget, Desk Toy, 3D Printed, Sensory Toys Autism, Worry Toy, Figure 8",1345,4862,3.6,122,$10.99,"$1,341",317
"AnomalyVFX:Bubbling Caldron Stress Ball Fidget | Crochet Pattern
Fidget, Crochet Pattern, Amigurumi, Crocheted, Plush, Toy, Pattern, How too, Stress Ball, Caldron, Witch, Bubbling, Halloween",283,6770,23.9,349,$3.50,"$1,222",824
"ItsSisterStuff:Dammit Doll, Cincinnati Bengals, stress relief
dammit doll, sports doll, football doll, stress relief, sports fabric doll, football team doll, NFL dammit doll, Cincinnati dammit, Bengals dammit, Cincinnati Bengals, Bengals dammit doll, Cincinnati doll",674,2648,3.9,60,$17.95,"$1,077",115
"ArtisticRainbowSlime:Aromatherapy Dough Sample Slime, Stress Relief, Artistic Rainbow, Slime Shop
slime, stress relief, sensory, relaxing, gift for her, therapy, sensory toy, stress toy, slime shop, artistic rainbow, clear, cloud, aromatherapy",350,5171,14.8,171,$5.49,$939,177
"AstralProjectionsCo:Galaxy stress Ball - 2.5 Inch
Galaxy, Fidget Toy, Stress Ball, squishy, desk, school, soft, adhd, space, stars, bouncy, balls, blue",1199,4679,3.9,233,$3.99,$930,338
"WorldDigitalPlanet:Burnout Processing Journal, Stress Employment Burnout, Relationship Burnout, Emotional Burnout,  Anxiety, Mental Health 8,5x11"" Printable
Therapy Journal, Mental Health, Anxiety Journal, Journal Prompts, anxiety, Stress, Medical Journal, KDP interior, Emotion List, Burnout Processing, Burnout, stress relief, Burnout therapy",1022,3433,3.4,113,$6.63,$749,292
"FidgetPicksShop:CAT Silicone Picking Pad - Stress and Anxiety Relief - Fidget Pick Toy - Skin Picking, Dermatillomania, ADHD - Gift for Cat Lovers
Silicone Picky Pad, Fidget Pick Pad, Anxiety Relief Pad, Bead Picking Pad, Skin Picking Pad, Dermatillomania Pad, Fidget Toy, Silicone Picker Pad, Fidget Picker Toy, cat picky pad, cat themed gift, cat lover gift, kitty picky pad",151,1558,10.3,32,$22.99,$736,201
"CuriousCutes:No Sew Octo Stress Ball Octopus Crochet Pattern - Solid Color, Classic Rainbow, and Pastel Rainbow Directions  (PDF Digital Download)
crochet pattern, stress ball, stress ball pattern, easy crochet pattern, beginner crochet, no sew pattern, crochet octopus, octopus pattern, octopus, octopus stress ball, squishy, rainbow, stress blob pattern",290,3801,13.1,196,$3.75,$735,290
"ArcaneCrystalarium:Reusable Picky Pad Anime Movies Themed, Stress, Dermatillomania, ADHD, Anxiety, Non-Toxic, Biodegradable, Skin Safe, Satisfying!
fidget melt, desk stress toy, remeltable picky pad, squishable gift, Dermatillomania, melting meltable, mental health, reusable, charm bracelet slime, aromatherapy squishy, diy keychain bead, autism adhd beads, skin picking pick",71,1277,18,20,$31.99,$640,114
"TaraMarieJewelry:White Howlite ""Stress & Anxiety""  Sterling Silver or Gold Filled Healing Gem dainty necklace for sensitive skin.  Funny Gift for her
gemstone, funny, metaphysical, white, marble, Tara Marie Jewelry, holistic healing, everyday necklace, jewelry with meaning, stress relief, layering necklace, anxiety, xanax",926,1028,1.1,14,$39.00,$546,55
"PocketShellsCharms:Discover Ultimate Stress Relief with complete Yoga Stretch Class Sequence | Instant Download | YOGA | Ideal for both teachers and students |
stretch yoga class, digital yoga class, Yoga PDF download, yoga flow sequence, yoga class planner, stretch stress class, yoga routine, yoga stretch class, yoga for stress, stress relief, yoga pose, yoga class, Gift",699,5377,7.7,277,$1.80,$498,81
"ThickThumbCrochet:Stress Pet Pattern, Crochet Cat, Fidget, Mini Kitty Strees Ball, No Sew Cute Plushie, Small Sensory Toy, Stress Blob, Anxiety Relief Aid
plushie pattern, stress toy, quick market make, crochet fidget toy, stress blob, sensory toy, pocket pet, amigurumi toy, crochet animals, anxiety relief, mini kitty, cute crochet cat, fun crochet pattern",291,2310,7.9,119,$3.55,$422,185
"ThePickFix:Easy Picking Picky Pad - Reduce Anxiety, stress, and skin picking
Picking Fidget, Skin Picking, Compulsive picking, fidget toy, Anxiety Relief, picky pad, Dermatillomania help, bfrb, mental health, coping strategy, stimming, stress relief, anxiety toy",280,1144,4.1,28,$12.99,$364,80
"ColorfulTherapyTools:Anxiety Relief Workbook for Teens Stress Relief Tools Emotion Regulation Skills How to manage feelings Therapy Tools for Adolescents
anxiety relief, stress reducing, adolescent workbook, teen worksheets, emotion regulation, therapy tools, CBT tools, DBT tools, teen stress, teen therapy, adolescent therapy, therapy worksheets, anxeity",710,850,1.2,17,$20.00,$340,47
