Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"WorldDigitalPlanet:The Ultimate Therapy Bundle with Printable Resources, Therapy Worksheets, Progress Notes, therapy tool for counselor coach and therapist.
cbt worksheets, mental health, progress notes, therapy journal, therapy tools, therapy worksheet, therapy worksheets, trauma therapy, therapy, therapist, therapy patient, therapy prompts, counselor",666,27585,41.4,913,$9.97,"$9,103",1087
"AndrewPixel:Boost Productivity Toolkit / Editable Coaching Tools and Exercises/ Interactive Coaching PDF Files / Therapy Tools
coaching tools, therapy tools, fillable pdf, mental health, mental wellness, psychology tools, coaching exercise, productivity, goal setting, therapy exercise",637,11658,18.3,187,$32.98,"$6,167",682
"CCDigitalStudios:Goals for Therapy Measurable Objectives Interventions BUNDLE, Therapy Tools, Cheat Sheets, Ideal for Treatment Planning, Therapist Office
Goal setting, therapy goals, documentation, therapy notes, mental health, therapy tools, treatment plan, therapy planner, therapy office decor, smart goals, psychology, cheat sheet, therapist office",717,11784,16.4,189,$32.14,"$6,074",649
"TheGrowthGardenShop:Therapy Session Scripts - 400 Therapy Scripts with CBT Therapy Interventions - Therapy Tool - Therapy Bundle - Treatment Planning
cbt therapy, therapy scripts, cbt bundle, cbt for adults, cbt for kids, cbt tools, therapy tool, therapy bundle, therapy documents, therapy worksheets, therapy, therapy progress, therapy intervention",325,9531,29.3,109,$46.63,"$5,082",542
"ShineThriveTherapy:DBT Worksheets, DBT skills, DBT Workbook, Therapy Worksheets, Therapy Tools, Counselling Resources, School Psychologist, Therapist Office
DBT Worksheets, DBT skills, DBT Workbook, Therapy Worksheets, Therapy Tools, School Psychologist, Counselling Resource, Therapy office decor, anxiety cards, bpd borderline, Mental Health Print, Self Care Planner, Coping Skills",1083,17554,16.2,581,$7.99,"$4,642",1056
"ThreeDollsPrintables:Progress Notes For Therapists | Client Counseling Template | Client Progress Notes | Therapy Tools | Printable & Fillable Template
progress notes, printable notes, fillable notes, counseling template, therapist paperwork, therapist template, therapy tool, therapy session, client progress note, therapist checklist, mental health, psychotherapy notes, therapy note",929,22777,24.5,1175,$3.50,"$4,112",246
"HappyPeonyDesign:Therapy Progress Note Statements, Progress Notes, Progress Report, Psychotherapy Notes, Progress Note Template, Therapy Notes, Therapy Tools
progress notes, progress report, treatment plan, treatment planner, treatment planning, therapist planner, therapy notes, psychotherapy notes, counselor notes, session notes, therapy cheat sheet, therapy tools, therapy resources",620,12761,20.6,320,$12.34,"$3,950",497
"MiriCampbell:Feelings Wheel Canva Templates, Emotions Wheel, Feelings Wheel Worksheets, Mental Health Worksheet, Therapy Tools, Emotional Health Template
feelings wheel, canva templates, emotions wheel, worksheet template, wheel worksheets, mental health, therapy tools, emotional health, mental wellbeing, feelings diary, journal templates, coping strategies, miricampbell",1082,8490,7.8,192,$19.90,"$3,820",714
"ShineThriveTherapy:DBT MEGA BUNDLE, dbt workbook, dbt skills, therapy worksheet, counselling resources, therapy tools, mental health printable, dbt flash cards
DBT flash cards, DBT skills workbook, BPD Borderline, DBT bundle, therapy worksheet, therapy tools, mental health print, counselling resource, school psychologist, therapy office decor, coping skills, anxiety cards, emotion wheel",1054,10410,9.9,236,$15.00,"$3,540",554
"InGENIUSPassions:Feelings Wheel Pillow / Emotions Wheel Round Pillow / Therapist Gift / Color Wheel Of Emotions / DBT Therapy Tools / Emotional Wheel Chart
feelings wheel, emotion wheel, feelings pillow, feelings chart, wheel of feelings, mood wheel, color emotion chart, dbt therapist gift, DBT Therapy Tools, therapy office decor, psychologist gifts, round throw pillow, circle pillows",137,4967,36.3,93,$29.99,"$2,789",166
