Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"ShineThriveTherapy:DBT MEGA BUNDLE, dbt skills, dbt workbook, therapy worksheet, counselling resources, therapy tools, mental health printable, dbt flash cards
cognitive distortion, DBT flash cards, DBT skills workbook, BPD Borderline, DBT bundle, therapy worksheet, mental health print, counselling resource, school psychologist, therapy office decor, coping skills, anxiety cards, emotion wheel",1083,189152,174.7,4293,$15.00,"$64,395",9730
"BreezySpecialEd:Sentence Starter Adapted Books for Speech Therapy / Special Education
special education, interactive book, interactive books, special needs, speech therapy, autism, adapted books, Speech, Special ed, Breezy Special ed, speech pathology",2824,36529,12.9,588,$32.00,"$18,816",1221
"ShirtFactoryStore:Speech Therapy Shirt, SLP Shirt, Slp Sweatshirt, Speech Pathologist, Speech Therapy, SLPA Aac Shirt, Speechie, Speech Therapist Appreciation
Speech Therapy, Speech Sherapist, Speech Pathologist, Speech Language, AAC Shirt, Speechie Shirt, Your Words Matter, Language Pathologist, Slpa Shirt, Slp, Aac, Speechie, Slp Appreciation",601,25840,43,586,$16.50,"$9,669",839
"FlameDesignUS:Retro Occupational Therapy Shirt, OT Shirt, Special Education Shirt, Cute Therapist Gift, Aesthetic Therapy Shirt, Sped Teacher Gift
Teacher shirt, Teacher Gifts, Teacher Appreciation, Back To School, kindergarden teacher, elementary teacher, preschool teacher, Comfort Colors, teacher christmas, Occupational Therapy, sped teacher gift, ot shirt, special education",436,17098,39.2,353,$24.99,"$8,821",471
"EarthByRC:Solfeggio Frequency Healing “all Inclusive” Therapy-  Sine Wave transmission for wellness, Meditative focus, Cellular repair, Longer REM sle
meditation tools, energy healing, chakra balancing, Handmade unique gift, frequency generator, Magnetic field, Rife Machine Therapy, Rodin torus coil, PEMF device, scalar waves, tesla waves, positive vibes, resonance frequency",172,3778,22,18,$444.15,"$7,995",143
"FlameDesignUS:Cute Occupational Therapy Shirt, OT Shirt, Special Education Shirt, Therapist Shirt, Autism Awareness, Sped Teacher Gift, Neurodiversity Tee
Teacher shirt, Teacher Gifts, Teacher Appreciation, Back To School, kindergarden teacher, elementary teacher, Comfort Colors, teacher christmas, Occupational Therapy, sped teacher gift, ot shirt, special education, Neurodiversity Shirt",442,14117,31.9,292,$24.99,"$7,297",550
"ShirtKingdomUS:OT Shirt, Comfort Colors Shirt, Occupational Therapy Shirt, COTA Shirt, Occupational Therapist Gift, OT Crew Shirt, Ot Assistant Shirt
occupational gift, ot shirt, occupational shirt, occupational therapy, ot student, gift for therapist, pediatric ot gift, therapy assistant, ot gift, ot squad, OTA Shirt, OT Crew Shirt, Ot Assistant Shirt",356,13388,37.6,277,$24.99,"$6,922",358
"BestOfApparel:Communication Looks Different For Everyone Shirt, Speech Therapy Shirt, Speech Pathologist Sweatshirt, Slp Hoodie, AAC Speechie SLPA Shirts
aac shirt, ot teacher, slp teacher, sped teacher, speech therapy shirt, therapist mom shirt, therapist sweatshirt, words matter shirt, your words matter, special education, slpa shirt, slp sweatshirt, communication",339,16289,48.1,369,$18.16,"$6,701",829
"Bluecustomshirt:Cute Occupational Therapy Shirt, OT Shirt, Special Education Shirt, Cute Therapist Gift, Aesthetic Therapy Shirt, Sped Teacher Sweatshirt
Occupational Therapy, OT Shirt, Cute Therapist Gift, Special Education, Speed Teacher Shirt, Teacher Gift, Aesthetic Therapy, Therapist Shirt, Floral OT Shirt, Flower Lover Shirt, Spooky OT Shirt, OT COTA Shirt, OT Team Shirt",230,20056,87.2,503,$13.10,"$6,589",674
"RayZeeInspired:Respiratory Therapist Sweatshirt, Respiratory Therapy Sweatshirt, Respiratory Therapist Shirt, Respiratory Therapy Gift, Respiratory Hero
Respiratory Therapy, respiratory shirt, Therapist shirt, Respiratory Hero, Sweatshirt, Gift, Respiratory Therapis, respiratory crewneck, therapy crewneck, respiratory shirts, respiratory gifts, rt sweatshirt, rt gift",1046,10407,9.9,195,$29.99,"$5,848",388
"WorkSheetOut:The Trauma Grid; Relational Therapy; Relationships; Understanding Trauma and Relationships; Relational Healing; Attachment Theory
relationships, relational therapy, therapy, therapy relationship, couples counseling, therapy healing, attachment work, attachment theory, inner child work, inner child, adult attachment, relationship therapy, therapy tools",328,50208,153.1,2590,$2.23,"$5,776",105
"nowgift:Occupational Therapy Shirt, Occupational Therapist Shirt, OT Shirt, Ota Gift, Occupational Therapy Is My Jam, Pediatric OT Shirt, Ota Shirt
ot is my jam, occupational therapy, funny ot shirt, pediatric ot, ot crewneck, ot graduation gift, cota shirt, future ot gift, therapist shirt, ota shirt, ot sweatshirt, peds ot, Assistant shirt",100,9888,98.9,185,$27.43,"$5,075",475
"Joyforcrystal:Cha Leaves Worry Stone, Anti-Anxiety Crystal, Therapy Stone, Fidget Stone, Pocket Crystal, Healing Crystal, Meditation Stone
Worry stone, Healing Crystal, Reiki worry stone, Healing stone, Crystal gift, Therapy stone, Fidget stone, Pocket crystal, Meditation crystal, Pocket stone, palm stone, Rubbing Stone, Anti Anxiety Stone",1043,25984,24.9,860,$5.49,"$4,721",1216
"CounsellorCronan:ADHD Therapy Workbook, Adhd Planner Adult, ADHD Late Diagnosis, neurodiverse. Therapy Journal, therapist resource, emotional regulation.
mental health, counsellor cronan, psychology handout, psychologist tools, neurodiversity, adhd journal, adhd planner, adhd skills, coping strategies, problem solving, executive function, home organization, therapy office decor",199,20887,105,691,$6.39,"$4,414",1220
"StickerHorse:Struggle Bus Sticker, Funny Stickers, Anxiety Retro therapy, Mental Health Decal, Trendy Sticker, Sarcastic Water Bottle Laptop Waterproof
Popular Now, Retro Sticker, Trendy Stickers, Tumbler Decal, Tumbler Sticker, Waterproof Decal, Waterproof Sticker, Funny Stickers, Laptop Sticker, Mental Health, Therapy Stickers, Water Bottle Sticker, Struggle Bus",341,16532,48.5,853,$4.98,"$4,248",2791
"therapywithCT:ACT worksheet bundle, acceptance and commitment therapy, ACT metaphors flashcards, cognitive defusion, act cheat sheet, ACT therapy tools
ACT therapy, Cognitive defusion, values worksheets, defusion techniques, ACT worksheets, radical acceptance, values flashcards, ACT metaphors, values worksheet, distress tolerance, acceptance therapy, mindful exercises, act cheat sheets",711,5242,7.4,98,$29.19,"$2,861",189
"MyBlueSnowflake:Doctor of Physical Therapy Gift-DPT Gift- DPT Graduation-Medical Gifts-Therapist Keyring-College Graduate-Dpt Graduate-University Graduate
Gifts for Graduates, University Graduate, DPT Graduation Gift, DPT degree gift, DPT graduate gift, DPT gift, DPT keychain, Doctor of, Physical Therapy, Medical Degree Gift, Top Medical gifts, Medical Keychain, gifts for interns",2193,5320,2.4,85,$33.34,"$2,834",173
"GentleObservations:Mental Status Exam, MSE Cheat Sheet, Fillable Therapy Forms, Intake Sheet, Private Practice Docs, Psychologist, Therapist, Social Worker
Mental Status Exam, MSE Cheat Sheet, Therapy Forms, Intake Sheet, Psychologist, Counselor, Therapist, Social Worker, Private Practice, Therapy Office Forms, Therapy documents, Clinical Notes, Progress Notes",949,9454,10,487,$3.80,"$1,851",341
"CognitiveAlchemy:ADHD coping skills cards, ADHD therapy tools, ADHD bundle, adhd for adults, adhd for teens, adhd resources, adhd visual aids adhd worksheets
ADHD coping skills, ADHD therapy cards, ADHD coping cards, ADHD bundle, ADHD planner, ADHD worksheets, ADHD tools, ADHD resources, ADHD for adults, ADHD for teens, attention deficit, hyperactivity, ADHD workbook",189,6638,35.1,166,$10.00,"$1,660",578
"FcDesignUS:Play Is My Favorite Occupation Sweatshirt, Occupational Therapy Shirt, Pediatric OT Hoodie, OT Assistant Shirt, Occupational Therapist Shirt
occupational shirt, therapy assistant, pediatric ot shirt, occupational therapy, therapist gift, occupational gift, ot squad, ot graduation gift, Pediatric OT, OT Assistant Shirt, Favorite Occupation, Occupation Sweater, Therapy Shirt",137,3851,28.1,87,$19.00,"$1,653",224
"BoutiqueStarlightArt:Diamond Painting Is My Therapy Shirt, Diamond Painting Shirt, Diamond Art Shirt, Diamond Art Gift, Diamond Shirt
Gift Idea, Women Shirt, Diamond Shirt, Diamond Painting, Diamond Art Shirt, Diamond Art Gift, Painting Accessories, Art Painting Tee, Diamond Art, Diamond Paintings, Unisex Shirt, Is My Therapy Shirt, Art Painting Shirt",267,2798,10.5,57,$24.99,"$1,424",202
"ToteTrendCraft:Custom Occupational Therapy Tote Bag, OT COTA Tote Bag, Personalized Occupational Therapist Bag, Occupational Therapy Appreciation Month
Occupational gift, Occupational therapy, Ot tote, OT Gifts, OT Therapist, OT graduation gift, OT tote bag, OTA Gifts, Ot Assistant, gift for therapist, gifts for OTs, occupational gifts, ot graduation bag",389,3730,9.6,84,$15.90,"$1,336",75
"MYBteeShop:Speech Therapy T Shirt, Speech Therapy Shirt, SLP Shirt, Speech Language Pathologist Shirt, Speech Pathology Shirt
Sped Teacher, Therapist Shirt, Speech Therapy, Special Education, Speech Therapist, Teacher Appreciation, sped teacher shirt, Speech Language, Pathologist Shirt, SLPA Tee, Speech Pathologist, slp shirt, speech therapy shirt",69,2777,40.2,63,$19.80,"$1,247",113
"YourBeautyAcademy:IV Drip Bag Labels, Editable Nutrient Therapy Labels, White, IV Templates, iv Hydration Clinic, IV vitamin infusions label, Edit in Canva
IV Label Templates, IV infusions, Intravenous, Hydration Clinic, Editable, Nutrient Therapy, Drip Bag Labels, IV Vitamins, Drip Bags, Labels, IV Templates, IV Drip Bag Labels, iv Hydration Clinic",326,3171,9.7,79,$12.60,$996,99
"SuccessInSocialWork:Trauma Therapy Worksheets Bundle,psychology resources,Polyvagal theory,EMDR Bundle,Inner critic,safety plan, Window of Tolerance,DBT Skills
counsellor cronan, trauma worksheets, Polyvagal Theory, somatic awareness, emotional regulation, EMDR scripts, vagus nerve, trauma workbook, emdr 8 phases, nervous system, trauma therapy tools, healing trauma, somatic healing",213,2255,10.6,51,$18.94,$966,143
"Oneillustrations:Speech Therapy Coffee Shop Room Decor Back to School Bulletin Board Kit, Door Decor, Wall Art
Speech Therapy, Speech Pathology, Bulletin Board, Decor, Classroom decor, Coffee shop, Coffee, Starbucks, Speechbucks, Door Decor, SLP, Pumpkin Spice latte, Art",945,3736,4,123,$7.25,$892,172
"EMOTIONZZshop:Art Therapy Workbook for Depression Healing, Mental Health Journal, Therapy Printable Worksheets, Self Help Tool, CBT Counseling Resource
therapy worksheets, emotional regulation, guided journal, art therapy, anxiety relief, journal prompts, counselling, mentalhealth planner, anxiety journal, emotional support, self therapy, shadow work, therapy printables",616,3047,4.9,100,$8.50,$850,177
"SuccessInSocialWork:Therapy Progress Note Templates, Therapy Intervention Counselor Cheat Sheet, Therapy Note Sentence Starters Counselor Note Templates
counsellorcronan, therapy worksheets, therapy tools, therapy intake forms, therapist forms, DBT, EMDR, therapist office, psychologist, therapy questions, therapist cheat, HIPAA compliant note, therapy notes",213,3263,15.3,168,$4.98,$837,134
"Copperonic:Pure Copper Therapy Bracelet for Pain Relief & Healing
heavy copper jewelry, copper therapy chain, pain relief bracelet, pure copper bracelet, wellness copper cuff, unisex copper chain, stylish therapy cuff, handmade copper, polished copper, durable copper, healing copper, arthritis relief, shiny copper",82,1450,17.7,27,$28.93,$781,62
"TheMarlerMethod:The ""Two-Houses"" CBT / ART Therapy Worksheet Activity for Kids Coping w Divorce, Separation, Conflict, Blended Families & Moving
Divorce support, kids teens, children, blended family, two homes kids, childhood trauma, coping skills, Adjustment, emotional regulation, CBT Worksheet, Art Therapy, Counselor, support group",1121,7287,6.5,376,$1.95,$733,267
"GentleObservations:Cognitive Distortion Flashcards, CBT, Therapy Tool, Coping Skills Cards, Psychology Office, DBT Cards, Unhelpful Thinking Patterns, Anxiety
Cognitive distortion, CBT, Coping skills cards, anxiety flashcards, therapy tool, psychology office, negative thoughts, thinking patterns, CBT thoughts, CBT coping, CBT tools, therapy office, Counselor tool",1119,4678,4.2,241,$3.00,$723,426
"PhaseBlueDesigns:Relapse Prevention Behavioral Therapy Workbook, Addiction recovery relapse worksheets, Stages of Change Relapse Prevention, Printable Addict
psychology workbook, behavioral therapy, addiction workbook, compulsion worksheet, recovery worksheet, addiction treatment, printable workbook, therapist printables, psychology worksheet, relapse prevention, addiction relapse, relapse worksheet, addiction worksheets",267,3383,12.7,111,$6.50,$722,202
"Sixnineture:Custom Occupational Therapy Christmas Shirt, OT Christmas Shirt, Christmas Tree Shirt, Special Education Shirt, Christmas Therapist Shirt
OT Gifts, Christmas OT Gift, occupational therapy, teacher christmas, kindergarden teacher, elementary teacher, sped teacher gift, ot shirt, special education, Teacher Appreciation, Christmas School, Gift For OT, OTA Shirt",551,1498,2.7,28,$25.71,$720,52
"TheOTCreations:Occupational Therapy NBCOT Study Materials
Occupational, Occupational Therapy, NBCOT, NBCOT Study, OT, OT Help Sheets, Handmade Notes, therapy, occupational study, NBCOT Study Guide",732,3301,4.5,75,$9.00,$675,98
"MentalHorizons:Trauma Therapy Worksheet Bundle, Trauma worksheets, PTSD Counseling Worksheet, Trauma Symptoms & Responses, Therapeutic Psychoeducation Tool
Trauma worksheet, trauma workbook, emdr worksheet, trauma, anxiety worksheet, trauma and the brain, PSTD, therapy tools, mental health, trauma therapy, cptsd, pstd worksheet, somatic healing",563,3516,6.2,116,$5.78,$670,232
