Shop / Listing,Listing Age (Days),Total Views,Daily Views,Est. Sales,Price,Est. Revenue,Hearts
"LotusTribeClothing:Forest Goddess Top by Lotus Tribe Clothing / Yoga Top / Yoga Bra / Festival Clothing / Pole Wear / Crop Top /Performer Wear / Festival Top
Yoga Bra, Yoga Top, Lace Up Top, Lace Up Bra, Halter Top, Summer Top, Sexy Top, Pixie Top, Yoga Wear, Dance Wear, Festival Top, Women's Clothing, Forest",2945,37779,12.8,494,$43.00,"$21,242",2670
"TireCoverCentral:Yoga Meditation Zen Spare Tire Cover ~ ALL Sizes available in menu~ Camera opening option in Menu ~ Heavy Duty Tire Protector
Spare Tire Cover, Jeep Tire Cover, Wheel Cover, yoga, peace, hippie, hippy, camera hole opening, meditation, tire cover for girl, bronco tire cover, Bohemian tire covedr, prayer",2439,10031,4.1,79,$79.99,"$6,319",389
"OmBeautiful:Blue and Purple, Yoga Leggings, Womens Pants, High Waisted, Big Waistband, Tie Dye, Ombre by OmBeautiful
Blue Leggings, Purple Leggings, Yoga Pants, Tie Dye, OmBeautiful, Tie Dye Leggings, Tie Dye Pants, Ombre Leggings, Ombre Pants, womens yoga leggings, big waistband, high waisted, yoga leggings",4379,17512,4,159,$64.00,"$10,176",5572
"MollyGraceGripSocks:White non slip grip sock with white bow and silver glitter star grips for Pilates, yoga, lagree or barre
pilates socks, pilates gifts, pilates princess, Pilates instructor, yoga socks, barre socks, lagree socks, grip socks, non slip socks, bow socks, hospital socks, grippy socks, cute grip socks",154,321,2.1,7,$18.99,$133,21
"CampMuscle:Women's Sports Bra Yoga Workout Fitness Training Activewear Bodybuilding Gym Sports Exercise
sports bra, shelf bra, bra tank top, sports bra tank, bra top, bra, bra for woman, sports bra for woman, workout bra, yoga bra, exercise, fitness, fitness exercise",1869,3186,1.7,79,$14.95,"$1,181",130
"JenniferSueDolls:Two Size 1/6 and 1/12 Scale Yoga Mats - Fashion Dolls/Dollhouses/Diorama - optional Hand-Drawn Kitty on white mat
fashion doll, fashion royalty, barbie, Yoga mat, Poppy Parker, Made to Move Barbie, Ken doll, Curvy Barbie doll, 12 inch doll, 1 6 scale, 1 12 scale, Hello Kitty, Hello Kitty Yoga mat",2016,2891,1.4,149,$4.99,$744,263
"Etrenspire:Black Leggings | Women's Leggings | Yoga Pants | Gymwear | Workout Gear | High Waist Leggings  | Yoga Leggings
workout pants, fitness leggings, athleisure, yoga leggings, cute leggings, womens fitness, leggings for women, black leggings, designer sportswear, women yoga leggings, women activewear, plus size, capri leggings",1813,1956,1.1,26,$39.99,"$1,040",167
"prettypumpkin:Dopey Challenge Headband, Running Headband, Yoga Headband, Dopey Dwarf Yoga Headband, Princess Headband, Dopey Headband
running headband, athletic headband, yoga headband, run disney headband, princess headband, princess weekend, disney headband, disney marathon, disney princess, run disney, princess costume, dopey challenge, dopey headband",1090,1007,0.9,22,$17.50,$385,63
"BigTexFunkadelic:Radioactive Spill Rave Ready Yoga Shorts w/ Inside Pocket
bigtexfunkadelic, abstract, psychedelic, edm, festival fashion, edc, electric forest, beyond wonderland, rave shorts, yoga shorts, booty shorts",1362,916,0.7,12,$38.99,$468,105
"designsbyagi:Flare Yoga Pants in Ice Dye, Ready to Ship!
workout pants, tie dye yoga pants, workout clothes, leggings tights, tie dye leggings, bohemian gypsy, custom made tie dye, funky boho pants, hippie yoga pants, ice dye pants, pink brown ice dye, pretty ice dye, hand dyed yoga pants",736,431,0.6,4,$52.00,$208,28
"StateofBodhiBoutique:Organic Cotton Yoga Pants, Fitness Leggings, Organic Yoga Clothes, Black High Waisted Leggings, Athleisure, Sustainable Clothing
Organic Leggings, Organic Yoga Pant, Athleisure, Sustainable Clothing, Organic Yoga Clothes, Workout Leggings, Workout Pants, Tall Yoga Pants, High Waist Leggings, Fitness Leggings, cotton yoga pants, slow fashion, fair fashion",2826,1420,0.5,9,$98.00,$882,76
"MatBeast:Spider Womens Leggings Yoga Pants Spats MMA Jiu Jitsu Martial Arts Fitness Workout Compression Clothes
Jiu Jitsu, MMA, Wrestling, Muay Thai, UFC, Martial Arts, Kickboxing, Yoga, Spats, Leggings, Spider Leggings, Spider Spats, Spider Yoga Pants",1501,705,0.5,6,$60.00,$360,37
"FashionFindzStudios:KOI LILY - Women's Yoga Leggings featuring Buttery Soft Fabric and Gusset for Maximum Comfort during Yoga Workout, Running & Gym
lily pond legging, koi spa legging, yoga leggings, gym leggings, yoga set, workout leggings, high waisted legging, leggings for women, leggings with gusset, stretch leggings, Butter Soft Leggings, spandex waist tights, waist leggings",934,453,0.5,5,$43.99,$220,19
"CarrotCreations:Yoga Socks in Acrylic Wool Blend in Avocado Green -- for Yoga, Dance, Pilates, Pedicures
crochet, belly dance, Pilates, yoga socks, pedicure socks, athletic socks, acrylic wool, grey yoga socks, neutral yoga socks, barefoot socks, flip flop socks, ankle support, plantar fasciitis",2470,1102,0.4,25,$15.50,$388,5
"FashionFindzStudios:INDIAN BATIK PLUSH - Women's Yoga Leggings featuring Buttery Soft Spandex Blend Fabric for Maximum Comfort
yoga leggings, workout leggings, gym leggings, yoga set, floral, high waisted legging, leggings for women, leggings with gusset, stretch leggings, Butter Soft Leggings, spandex waist tights, floral spandex, waist leggings",1115,455,0.4,5,$43.99,$220,15
"MollyGraceGripSocks:Custom embordered rainbow grip socks for Pilates, Yoga, Barre or Lagree
pilates socks, pride socks, grip socks, non slip socks, barre socks, lagree socks, yoga socks, rainbow gifts, pride gifts, pilates pride, Pilates instructor, reformer, yoga mat",359,135,0.4,2,$20.00,$40,7
"SpiritWestDesigns:Christmas Cat Leggings Santa Kitty Capris Yoga Pants Shorts, Kids Adult Plus Size Mommy and Me Matching Dance Pants Cosplay Costume 5085
leggings, yoga pants, yoga, christmas, cats, kitties, christmas leggings, cat leggings, mommy and me, Plus size leggings, plus size, shorts, dance costume",3066,783,0.3,9,$48.00,$432,49
"HealthFitForyou:Yoga Mat with Alignment Marks & Carrier Yoga Mat Straps - 24"" x 72"" (61cm x 183cm)-Workout Mat Thick 6mm - Breast Cancer Gifts For Women
pinkyogamat, yogamatalignment, yogamatwithstraps, yogamat, yogamatforwomen, breastcancer, pinkmat, 6mmyogamat, nonslipyogamat, yoga, yogaforwomen, sale, yogamatwithalignment",233,75,0.3,1,$25.99,$26,4
"1treeyoga:Knee High Yoga Socks
socks, knee high, knee high socks, yoga, yoga socks, knitted socks, dance socks, Pilates, dance, leg warmers, yoga gifts, yoga gear, gifts for her",173,57,0.3,0,$40.00,$0,9
"ElevateStudiosPHL:Black Barre/Yoga Grip Socks
grip socks, barre socks, yoga socks, pilates socks, barre, pilates, yoga, socks, black, grip, non-slip, black-owned",56,19,0.3,0,$9.00,$0,0
"designsbyagi:Size L Extra Long Tie Dye Flare Yoga Pants, Ready to Ship
tie dye yoga pants, flare yoga pants, bohemian pants, tie dye hippie pants, fold over band, earthy tie dye, zen yoga bottom, earthy yoga pants, size large pants, extra long pants, ready to ship, tall woman pants",175,45,0.3,0,$49.00,$0,5
"OffTheHookbyJulie:Aqua & Black Crocheted Yoga/Pilates/Dance/Pedicure/Flip Flop/Spa Socks (THICK-AVERAGE SIZE)
Yoga socks, pilates socks, PiYo Socks, Pedicure socks, flip flop socks, dance socks, gift ideas, no toe socks, toeless socks, crocheted socks, athletic socks, birthday gift, woman's socks",2271,560,0.2,12,$19.00,$228,22
"HandPaintedbyTristan:Terra Climber Lounge Unisex Mens Womens Yoga Pants
unique, yoga, pants, hippie, yogi, tie dye, bell bottoms, funky, festival, colorful, jam band, star wars, comfy",2186,451,0.2,5,$44.00,$220,16
"LivingLimitless:I'm Just Here for the Savasana Women's Muscle Tank - Yoga Tank - Yoga Clothes - Namaste - Chaturanga - Funny Yoga Tank - Fitness Tank
yoga tank, savasana, chaturanga, namaste, yoga clothes, funny yoga tank, fitness tank, hot yoga, workout tank, gym tank, cute yoga tank, plank, goat yoga",1860,462,0.2,8,$27.00,$216,17
"TheTerrapinStation:Handmade Tie Dye Yoga Pants XS Extra Small One of a Kind
Small tie dye yoga, small tie dye, Tie dye yoga pants, tie dye pants, small yoga pants, Tie Dye, extra small pants, blue tie dye, XS tie dye, XS tie dye pants, tie dye leggings, handmade tie dye, blue pants",2339,372,0.2,3,$60.00,$180,27
"YogaPhotoMats:80 "" Extra Long Custom Yoga Mat! | Great Gift | Design Your Own | Unique Gift | High Quality | ECO Friendly  | Ships Within 24 Hrs !
yoga, yoga inspiration, yoga mat, custom yoga mat, eco friendly, create your own, meditation mats, yoga gifts, Logo Yoga Mat, Design Your Own Mat, Photo Yoga Mat, brides made gifts, extra long",1607,354,0.2,2,$89.99,$180,6
"LivingLimitless:I'm Just Here for the Savasana Yoga Unisex Relaxed Fit Dark Gray Soft Blend Tee - Workout Shirt - Yoga Clothes - Hot Yoga - Funny Yoga Shirt
savasana, yoga shirt, yoga clothes, funny yoga tee, hot yoga, workout shirt, fitness shirt, chaturanga shirt, plank shirt, namaste shirt, yoga gift, funny yoga gift, women's yoga shirt",1860,350,0.2,6,$25.99,$156,11
